2004 Federal Election House of Representatives Party Representation [12246 8/11/2005 11:07:14 PM]
PartyAb,Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Total,LastElectionTotal
ALP,Australian Labor Party,21,19,6,5,3,3,2,1,60,65
LP,Liberal,21,16,17,10,8,2,0,0,74,68
NP,The Nationals,6,2,4,0,0,0,0,0,12,13
DEM,Democrats,0,0,0,0,0,0,0,0,0,0
GRN,The Greens,0,0,0,0,0,0,0,0,0,0
HAN,One Nation,0,0,0,0,0,0,0,0,0,0
CDP,CDP Christian Party,0,0,0,0,0,0,0,0,0,0
CLP,CLP - The Territory Party,0,0,0,0,0,0,0,1,1,1
CEC,Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
LFF,liberals for forests,0,0,0,0,0,0,0,0,0,0
NGST,No GST,0,0,0,0,0,0,0,0,0,0
SAS,Save the ADI Site Party,0,0,0,0,0,0,0,0,0,0
PLP,Progressive Labour Party,0,0,0,0,0,0,0,0,0,0
LEF,Lower Excise Fuel and Beer Party,0,0,0,0,0,0,0,0,0,0
HMP,HEMP,0,0,0,0,0,0,0,0,0,0
NCP,Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
FPY,The Fishing Party,0,0,0,0,0,0,0,0,0,0
ORP,Outdoor Recreation Party,0,0,0,0,0,0,0,0,0,0
DLP,DLP - Democratic Labor Party,0,0,0,0,0,0,0,0,0,0
VET,"Ex-Service, Service & Veterans Party",0,0,0,0,0,0,0,0,0,0
FFP,Family First,0,0,0,0,0,0,0,0,0,0
NCO,New Country Party,0,0,0,0,0,0,0,0,0,0
NDP,Nuclear Disarmament Party,0,0,0,0,0,0,0,0,0,0
SAL,Socialist Alliance,0,0,0,0,0,0,0,0,0,0
ADP,The Aged and Disability Pensioners Party,0,0,0,0,0,0,0,0,0,0
TGA,The Great Australians,0,0,0,0,0,0,0,0,0,0
IND,Independent,2,0,1,0,0,0,0,0,3,3
NAFD,Non Affiliated,0,0,0,0,0,0,0,0,0,0
