2004 Federal Election Senate Candidates [12246 8/11/2005 11:10:14 PM]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,SittingMemberFl
TAS,LP,Liberal Party of Australia - Tasmanian Division,14621,ABETZ,Eric,#
WA,LP,Liberal Party (W.A. Division) Inc.,14903,ADAMS,Judith,#
VIC,GRN,The Australian Greens - Victoria,15511,AHMED,Berhan,
SA,IND,Independent,15611,ARMOUR,Richard,
NSW,HMP,Help End Marijuana Prohibition,14165,ASKEY,Graham Lee,
NSW,NP,National Party of Australia - N.S.W.,15067,BAIN,Robyn,
QLD,NP,National Party of Australia (Queensland),14285,BAKER,James,
NSW,HMP,Help End Marijuana Prohibition,14164,BALDERSTONE,Michael Taylor,
TAS,LP,Liberal Party of Australia - Tasmanian Division,14622,BARNETT,Guy,#
SA,LFF,liberals for forests,15591,BARONS,Rachael,
VIC,CDP,Christian Democratic Party (Fred Nile Group),15403,BARRON,Alan J,
WA,ALP,Australian Labor Party (Western Australian Branch),14556,BARZOTTO,Emiliano,
SA,FFP,Family First Party,14772,BATES,Tony,
QLD,DEM,Australian Democrats,15106,BAUER,Bonny,
NSW,,Non Affiliated,15271,BEAMS,Nick,
NSW,ORP,Outdoor Recreation Party,15303,BELGRAVE,Leon A,
NSW,ORP,Outdoor Recreation Party,15304,BEREGSZASZI,Janos,
TAS,FFP,Family First Party,14671,BERGMAN,Lance,
NSW,GRN,Australian Greens,14581,BERRY,Carol,
SA,SAL,Socialist Alliance,14206,BERTULEIT,Tom,
VIC,FFP,Family First Party,14727,BLAZE,Annette,
VIC,NCP,Non-Custodial Parents Party,15616,BOERS,Kevin,
VIC,SAL,Socialist Alliance,14374,BOLTON,Sue,
ACT,DEM,Australian Democrats,15138,BOURNE,Peta,
VIC,FFP,Family First Party,14734,BOWN,Ann,
QLD,LP,Liberal Party of Australia - Queensland Division,14822,BOYCE,Sue,
QLD,LP,Liberal Party of Australia - Queensland Division,14816,BRANDIS,George Henry,#
NSW,SAS,Save the ADI Site Party,14470,BROWN,Geoff,
VIC,VET,"Ex-Service, Service & Veterans Party",14281,BROWN,Pam,
VIC,IND,Independent,14140,BUCK,David,
NSW,GRN,Australian Greens,14586,BUCKINGHAM,Jeremy,
NT,DEM,Australian Democrats,15316,BULSEY,Janeen,
NSW,DEM,Australian Democrats,15500,BURRIDGE,Nina,
NSW,HAN,Pauline Hanson's One Nation (NSW Division),15090,BUSSA,Peter,
NSW,DEM,Australian Democrats,15502,BUTLER,Greg,
NSW,CEC,Citizens Electoral Council of Australia,14610,BUTLER,Robert,
WA,LP,Liberal Party (W.A. Division) Inc.,14900,CAMPBELL,Ian,#
NSW,CDP,Christian Democratic Party (Fred Nile Group),14436,CAPSIS,George,
NSW,IND,Independent,14167,CARPENTER,Carole,
VIC,ALP,Australian Labor Party (Victorian Branch),15069,CARR,Kim John,#
TAS,DEM,Australian Democrats,15574,CASS,Suzanne,
TAS,GRN,Australian Greens,15243,CASSIDY,Karen,
QLD,LFF,liberals for forests,15497,CHAPMAN,Archie,
