State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,1,17, A,KLOTZ,Rolf,1864,1864,1864,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,18, A,SMITH,Mark,38,38,38,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,19, A,MUNRO,Robyn,25,25,25,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,20, A,MAY,Ivan,30,30,30,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,21, B,WINTHER,Kane,356,356,356,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,22, B,WINTHER,Claire,46,46,46,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,23, C,STANKO,Andrew,638,638,638,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,24, C,WOODARDS,Damian,19,19,19,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,25, D,PHILLIPS,Andrew J,10900,10900,10900,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,26, D,HILLE,Basil V,95,95,95,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,27, E,LEES,Meg,11019,11019,11019,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,28, E,JONES,Kirk,19,19,19,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,29, E,MACINTOSH,Jenny,23,23,23,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,30, F,BERTULEIT,Tom,1202,1202,1202,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,31, F,McDONELL,Amy,53,53,53,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,32, G,McEWEN,Anne,340581,340581,340581,1,Elected,#,2,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,33, G,HURLEY,Annette Kay,1997,1997,1997,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,34, G,WORTLEY,Dana,844,844,844,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,35, H,MINCHIN,Nick,456533,456533,456533,1,Elected,#,1,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,36, H,VANSTONE,Amanda,2155,2155,2155,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,37, H,FERGUSON,Alan,357,357,357,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,38, H,LAWRIE,Sue,515,515,515,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,39, I,NOONE,Brian,62407,62407,62407,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,40, I,McCARTY,Clare,819,819,819,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
