State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
WA ,6,1128155,161166,1,16, A,CURTIS,Alicia,4039,4039,4039,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,17, A,OGLE,Steven,83,83,83,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,18, B,IRVINE,Nigel,9467,9467,9467,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,19, B,HATCH,Don,86,86,86,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,20, C,ELLISON,Chris,554299,554299,554299,1,Elected,#,1,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,21, C,CAMPBELL,Ian,1124,1124,1124,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,22, C,ADAMS,Judith,635,635,635,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,23, C,STECK,Michelle,530,530,530,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,24, D,EVANS,Chris,365661,365661,365661,1,Elected,#,2,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,25, D,STERLE,Glenn,550,550,550,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,26, D,BARZOTTO,Emiliano,614,614,614,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,27, E,TAYLOR,Brian,1695,1695,1695,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,28, E,DIXON,Geoff,46,46,46,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,29, F,LUPI,Mary,5161,5161,5161,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,30, F,KEARSLEY,Lyn,88,88,88,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,31, G,DUNJEY,Lachlan,21039,21039,21039,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,32, G,WATT,Peter,92,92,92,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,33, G,GAGE,Norman,103,103,103,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,34, H,GILL,Geoff,9570,9570,9570,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,35, H,HENNING,Norm,129,129,129,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,36, I,HARRINGTON,Mal,1960,1960,1960,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,37, I,MANSELL,Brendan,21,21,21,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,38, J,GIBSON,Geoff,914,914,914,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,39, J,CRABBE,Stephen G,18,18,18,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,40, K,SIEWERT,Rachel,89717,89717,89717,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,41, K,HUGHES,Colin,360,360,360,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,42, K,NEWALL,Christopher,174,174,174,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,43, K,PETERSON,Felicity,705,705,705,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,44, L,HOPKINSON,James,27352,27352,27352,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,45, L,McLEAN,Ron,249,249,249,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,46, M,GREIG,Brian,22197,22197,22197,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,47, M,LISOWSKI,Dominika,209,209,209,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,48, M,MEOTTI,Jason,197,197,197,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,49, N,ROBINSON,Jean,2058,2058,2058,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,50, N,SMITH,Stuart,40,40,40,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,51, O,McKAY,Lesley,5586,5586,5586,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,52, O,TAYLOR,Vicky,94,94,94,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,53,UG,EASTON,Julie,1015,1015,1015,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,54,UG,MARSDEN,Alexander,132,132,132,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,55,UG,JARDINE,Jim,146,146,146,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,1001,  ,Exhausted,,0,0,0,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,1,1002,  ,Gain/Loss,,0,0,0,1,, ,0,"ELLISON, C has 393133 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.70924357. 554299 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,16, A,CURTIS,Alicia,32,22,4061,0.709243567100067,, ,0,""
WA ,6,1128155,161166,2,17, A,OGLE,Steven,1,0,83,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,18, B,IRVINE,Nigel,57,40,9507,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,19, B,HATCH,Don,10,7,93,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,20, C,ELLISON,Chris,-554299,-393133,161166,0.709243567100067,Elected, ,1,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,21, C,CAMPBELL,Ian,553500,392566,393690,0.709243567100067,Elected,#,3,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,22, C,ADAMS,Judith,239,169,804,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,23, C,STECK,Michelle,85,60,590,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,24, D,EVANS,Chris,0,0,365661,0,Elected, ,2,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,25, D,STERLE,Glenn,41,29,579,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,26, D,BARZOTTO,Emiliano,2,1,615,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,27, E,TAYLOR,Brian,31,21,1716,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,28, E,DIXON,Geoff,6,4,50,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,29, F,LUPI,Mary,11,7,5168,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,30, F,KEARSLEY,Lyn,3,2,90,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,31, G,DUNJEY,Lachlan,32,22,21061,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,32, G,WATT,Peter,1,0,92,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,33, G,GAGE,Norman,2,1,104,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
