2004 Federal Election Senate First Preferences By Polling Place for State ACT [12246 29/09/2005 4:11:25 AM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
ACT,101,Canberra,8761,Chapman,A,15694,0,A Ticket Votes,Australian Progressive Alliance,4
ACT,101,Canberra,8761,Chapman,A,14279,1,"JOLLEY, Jeannette",Australian Progressive Alliance,3
ACT,101,Canberra,8761,Chapman,A,14284,2,"DEEBANK, Ryan",Australian Progressive Alliance,0
ACT,101,Canberra,8761,Chapman,B,15698,0,B Ticket Votes,Liberal,831
ACT,101,Canberra,8761,Chapman,B,15626,1,"#HUMPHRIES, Gary",Liberal Party of Australia - ACT Division,96
ACT,101,Canberra,8761,Chapman,B,15627,2,"MORISON, Ian",Liberal Party of Australia - ACT Division,9
ACT,101,Canberra,8761,Chapman,C,15695,0,C Ticket Votes,Australian Labor Party (ACT Branch),692
ACT,101,Canberra,8761,Chapman,C,14590,1,"#LUNDY, Kate",Australian Labor Party (ACT Branch),209
ACT,101,Canberra,8761,Chapman,C,14592,2,"SMITH, David",Australian Labor Party (ACT Branch),17
ACT,101,Canberra,8761,Chapman,D,15696,0,D Ticket Votes,Christian Democratic Party (Fred Nile Group),15
ACT,101,Canberra,8761,Chapman,D,15156,1,"JANES, Tim",Christian Democratic Party (Fred Nile Group),12
ACT,101,Canberra,8761,Chapman,D,15160,2,"MILLER, John",Christian Democratic Party (Fred Nile Group),2
ACT,101,Canberra,8761,Chapman,E,15697,0,E Ticket Votes,Australian Democrats,21
ACT,101,Canberra,8761,Chapman,E,15135,1,"JACOBS, Rachael",Australian Democrats,20
ACT,101,Canberra,8761,Chapman,E,15138,2,"BOURNE, Peta",Australian Democrats,6
ACT,101,Canberra,8761,Chapman,F,15699,0,F Ticket Votes,The Greens,227
ACT,101,Canberra,8761,Chapman,F,15422,1,"TUCKER, Kerrie",Australian Greens,198
ACT,101,Canberra,8761,Chapman,F,15424,2,"MANDERSON, Roland",Australian Greens,0
ACT,101,Canberra,8761,Chapman,UG,14331,1,"EDWARDS, Dave",Independent,15
ACT,101,Canberra,8762,Chifley,A,15694,0,A Ticket Votes,Australian Progressive Alliance,3
ACT,101,Canberra,8762,Chifley,A,14279,1,"JOLLEY, Jeannette",Australian Progressive Alliance,4
ACT,101,Canberra,8762,Chifley,A,14284,2,"DEEBANK, Ryan",Australian Progressive Alliance,1
ACT,101,Canberra,8762,Chifley,B,15698,0,B Ticket Votes,Liberal,445
ACT,101,Canberra,8762,Chifley,B,15626,1,"#HUMPHRIES, Gary",Liberal Party of Australia - ACT Division,33
ACT,101,Canberra,8762,Chifley,B,15627,2,"MORISON, Ian",Liberal Party of Australia - ACT Division,4
