2004 Federal Election Senate First Preferences By Polling Place for State NT [12246 29/09/2005 4:15:13 AM]
StateAb	DivisionID	DivisionNm	PollingPlaceID	PollingPlaceNm	Ticket	CandidateID	BallotPosition	CandidateDetails	PartyNm	OrdinaryVotes
NT	306	Lingiari	8701	Alice Springs	A	15652	0	A Ticket Votes	Australian Democrats	48
NT	306	Lingiari	8701	Alice Springs	A	15316	1	BULSEY, Janeen	Australian Democrats	16
NT	306	Lingiari	8701	Alice Springs	A	15318	2	LAWRENCE, Fay	Australian Democrats	2
NT	306	Lingiari	8701	Alice Springs	B	15650	0	B Ticket Votes	The Greens	144
NT	306	Lingiari	8701	Alice Springs	B	14639	1	WAKEHAM, Mark	Australian Greens	57
NT	306	Lingiari	8701	Alice Springs	B	14643	2	MCKENZIE, Shan	Australian Greens	12
NT	306	Lingiari	8701	Alice Springs	C	15654	0	C Ticket Votes	Australian Labor Party (ALP)	584
NT	306	Lingiari	8701	Alice Springs	C	15541	1	#CROSSIN, Trish	Australian Labor Party (ALP)	66
NT	306	Lingiari	8701	Alice Springs	C	15539	2	CONNOP, Wayne	Australian Labor Party (ALP)	6
NT	306	Lingiari	8701	Alice Springs	D	15653	0	D Ticket Votes	Socialist Alliance	6
NT	306	Lingiari	8701	Alice Springs	D	15325	1	HAYES, Ray	Socialist Alliance	2
NT	306	Lingiari	8701	Alice Springs	D	15326	2	NEWNAM, Kathy	Socialist Alliance	0
NT	306	Lingiari	8701	Alice Springs	E	15651	0	E Ticket Votes	CLP-The Territory Party	742
NT	306	Lingiari	8701	Alice Springs	E	14662	1	#SCULLION, Nigel	Northern Territory Country Liberal Party	53
NT	306	Lingiari	8701	Alice Springs	E	14665	2	GREGG, Bernadette	Northern Territory Country Liberal Party	6
NT	306	Lingiari	8701	Alice Springs	UG	14456	1	WRIGHT, Wayne	Non Affiliated	5
NT	306	Lingiari	8702	Alyangula	A	15652	0	A Ticket Votes	Australian Democrats	15
NT	306	Lingiari	8702	Alyangula	A	15316	1	BULSEY, Janeen	Australian Democrats	2
NT	306	Lingiari	8702	Alyangula	A	15318	2	LAWRENCE, Fay	Australian Democrats	1
NT	306	Lingiari	8702	Alyangula	B	15650	0	B Ticket Votes	The Greens	20
NT	306	Lingiari	8702	Alyangula	B	14639	1	WAKEHAM, Mark	Australian Greens	2
NT	306	Lingiari	8702	Alyangula	B	14643	2	MCKENZIE, Shan	Australian Greens	0
NT	306	Lingiari	8702	Alyangula	C	15654	0	C Ticket Votes	Australian Labor Party (ALP)	139
NT	306	Lingiari	8702	Alyangula	C	15541	1	#CROSSIN, Trish	Australian Labor Party (ALP)	8
NT	306	Lingiari	8702	Alyangula	C	15539	2	CONNOP, Wayne	Australian Labor Party (ALP)	2
NT	306	Lingiari	8702	Alyangula	D	15653	0	D Ticket Votes	Socialist Alliance	2
NT	306	Lingiari	8702	Alyangula	D	15325	1	HAYES, Ray	Socialist Alliance	0
NT	306	Lingiari	8702	Alyangula	D	15326	2	NEWNAM, Kathy	Socialist Alliance	0
NT	306	Lingiari	8702	Alyangula	E	15651	0	E Ticket Votes	CLP-The Territory Party	91
NT	306	Lingiari	8702	Alyangula	E	14662	1	#SCULLION, Nigel	Northern Territory Country Liberal Party	5
NT	306	Lingiari	8702	Alyangula	E	14665	2	GREGG, Bernadette	Northern Territory Country Liberal Party	2
NT	306	Lingiari	8702	Alyangula	UG	14456	1	WRIGHT, Wayne	Non Affiliated	2
NT	306	Lingiari	8704	Batchelor	A	15652	0	A Ticket Votes	Australian Democrats	6
NT	306	Lingiari	8704	Batchelor	A	15316	1	BULSEY, Janeen	Australian Democrats	2
NT	306	Lingiari	8704	Batchelor	A	15318	2	LAWRENCE, Fay	Australian Democrats	0
NT	306	Lingiari	8704	Batchelor	B	15650	0	B Ticket Votes	The Greens	26
NT	306	Lingiari	8704	Batchelor	B	14639	1	WAKEHAM, Mark	Australian Greens	9
NT	306	Lingiari	8704	Batchelor	B	14643	2	MCKENZIE, Shan	Australian Greens	0
NT	306	Lingiari	8704	Batchelor	C	15654	0	C Ticket Votes	Australian Labor Party (ALP)	99
NT	306	Lingiari	8704	Batchelor	C	15541	1	#CROSSIN, Trish	Australian Labor Party (ALP)	19
NT	306	Lingiari	8704	Batchelor	C	15539	2	CONNOP, Wayne	Australian Labor Party (ALP)	2
NT	306	Lingiari	8704	Batchelor	D	15653	0	D Ticket Votes	Socialist Alliance	1
NT	306	Lingiari	8704	Batchelor	D	15325	1	HAYES, Ray	Socialist Alliance	2
NT	306	Lingiari	8704	Batchelor	D	15326	2	NEWNAM, Kathy	Socialist Alliance	0
NT	306	Lingiari	8704	Batchelor	E	15651	0	E Ticket Votes	CLP-The Territory Party	120
NT	306	Lingiari	8704	Batchelor	E	14662	1	#SCULLION, Nigel	Northern Territory Country Liberal Party	6
NT	306	Lingiari	8704	Batchelor	E	14665	2	GREGG, Bernadette	Northern Territory Country Liberal Party	0
NT	306	Lingiari	8704	Batchelor	UG	14456	1	WRIGHT, Wayne	Non Affiliated	0
NT	306	Lingiari	8706	Berry Springs	A	15652	0	A Ticket Votes	Australian Democrats	13
NT	306	Lingiari	8706	Berry Springs	A	15316	1	BULSEY, Janeen	Australian Democrats	2
NT	306	Lingiari	8706	Berry Springs	A	15318	2	LAWRENCE, Fay	Australian Democrats	0
NT	306	Lingiari	8706	Berry Springs	B	15650	0	B Ticket Votes	The Greens	47
NT	306	Lingiari	8706	Berry Springs	B	14639	1	WAKEHAM, Mark	Australian Greens	14
NT	306	Lingiari	8706	Berry Springs	B	14643	2	MCKENZIE, Shan	Australian Greens	2
NT	306	Lingiari	8706	Berry Springs	C	15654	0	C Ticket Votes	Australian Labor Party (ALP)	219
NT	306	Lingiari	8706	Berry Springs	C	15541	1	#CROSSIN, Trish	Australian Labor Party (ALP)	16
NT	306	Lingiari	8706	Berry Springs	C	15539	2	CONNOP, Wayne	Australian Labor Party (ALP)	3
