2004 Federal Election Senate First Preferences By Polling Place for State SA [12246 29/09/2005 4:15:13 AM]
StateAb	DivisionID	DivisionNm	PollingPlaceID	PollingPlaceNm	Ticket	CandidateID	BallotPosition	CandidateDetails	PartyNm	OrdinaryVotes
SA	179	Adelaide	6648	Adelaide (Adelaide)	A	15715	0	A Ticket Votes		0
SA	179	Adelaide	6648	Adelaide (Adelaide)	A	15601	1	KLOTZ, Rolf	Non Affiliated	1
SA	179	Adelaide	6648	Adelaide (Adelaide)	A	15604	2	SMITH, Mark	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	A	15605	3	MUNRO, Robyn	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	A	15607	4	MAY, Ivan	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	B	15702	0	B Ticket Votes		0
SA	179	Adelaide	6648	Adelaide (Adelaide)	B	14397	1	WINTHER, Kane	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	B	14398	2	WINTHER, Claire	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	C	15706	0	C Ticket Votes		0
SA	179	Adelaide	6648	Adelaide (Adelaide)	C	14551	1	STANKO, Andrew	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	C	14552	2	WOODARDS, Damian	Non Affiliated	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	D	15713	0	D Ticket Votes	One Nation	2
SA	179	Adelaide	6648	Adelaide (Adelaide)	D	15389	1	PHILLIPS, Andrew J	Pauline Hanson's One Nation	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	D	15392	2	HILLE, Basil V	Pauline Hanson's One Nation	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	E	15700	0	E Ticket Votes	Australian Progressive Alliance	3
SA	179	Adelaide	6648	Adelaide (Adelaide)	E	14202	1	LEES, Meg	Australian Progressive Alliance	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	E	14203	2	JONES, Kirk	Australian Progressive Alliance	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	E	14204	3	MACINTOSH, Jenny	Australian Progressive Alliance	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	F	15701	0	F Ticket Votes	Socialist Alliance	3
SA	179	Adelaide	6648	Adelaide (Adelaide)	F	14206	1	BERTULEIT, Tom	Socialist Alliance	1
SA	179	Adelaide	6648	Adelaide (Adelaide)	F	14207	2	McDONELL, Amy	Socialist Alliance	0
SA	179	Adelaide	6648	Adelaide (Adelaide)	G	15703	0	G Ticket Votes	Australian Labor Party	171
SA	179	Adelaide	6648	Adelaide (Adelaide)	G	14400	1	#McEWEN, Anne	Australian Labor Party (South Australian Branch)	8
SA	179	Adelaide	6648	Adelaide (Adelaide)	G	14401	2	#HURLEY, Annette Kay	Australian Labor Party (South Australian Branch)	2
SA	179	Adelaide	6648	Adelaide (Adelaide)	G	14403	3	#WORTLEY, Dana	Australian Labor Party (South Australian Branch)	1
SA	179	Adelaide	6648	Adelaide (Adelaide)	H	15708	0	H Ticket Votes	Liberal	171
SA	179	Adelaide	6648	Adelaide (Adelaide)	H	14598	1	#MINCHIN, Nick	Liberal Party of Australia (S.A. Division)	5
SA	179	Adelaide	6648	Adelaide (Adelaide)	H	14599	2	#VANSTONE, Amanda	Liberal Party of Australia (S.A. Division)	1
SA	179	Adelaide	6648	Adelaide (Adelaide)	H	14602	3	#FERGUSON, Alan	Liberal Party of Australia (S.A. Division)	1
