2004 Federal Election Senate First Preferences By Polling Place for State TAS [12246 29/09/2005 4:11:25 AM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,192,Bass,8288,Newnham,A,15659,0,A Ticket Votes,Liberal,1107
TAS,192,Bass,8288,Newnham,A,14621,1,"#ABETZ, Eric",Liberal Party of Australia - Tasmanian Division,52
TAS,192,Bass,8288,Newnham,A,14622,2,"#BARNETT, Guy",Liberal Party of Australia - Tasmanian Division,43
TAS,192,Bass,8288,Newnham,A,14623,3,"#PARRY, Stephen",Liberal Party of Australia - Tasmanian Division,7
TAS,192,Bass,8288,Newnham,B,15656,0,B Ticket Votes,Citizens Electoral Council,4
TAS,192,Bass,8288,Newnham,B,14266,1,"LARNER, Rob",Citizens Electoral Council of Australia,1
TAS,192,Bass,8288,Newnham,B,14267,2,"WATTS, Adrian R",Citizens Electoral Council of Australia,1
TAS,192,Bass,8288,Newnham,C,15663,0,C Ticket Votes,Australian Democrats,14
TAS,192,Bass,8288,Newnham,C,15568,1,"ONSMAN, Yulia",Australian Democrats,5
TAS,192,Bass,8288,Newnham,C,15574,2,"CASS, Suzanne",Australian Democrats,1
TAS,192,Bass,8288,Newnham,D,15660,0,D Ticket Votes,Family First,59
TAS,192,Bass,8288,Newnham,D,14669,1,"PETRUSMA, Jacquie",Family First Party,4
TAS,192,Bass,8288,Newnham,D,14671,2,"BERGMAN, Lance",Family First Party,5
TAS,192,Bass,8288,Newnham,D,14673,3,"SMITH, Lindsay",Family First Party,2
TAS,192,Bass,8288,Newnham,E,15658,0,E Ticket Votes,Christian Democratic Party (Fred Nile Group),9
TAS,192,Bass,8288,Newnham,E,14460,1,"MITCHELL, David Charles",Christian Democratic Party (Fred Nile Group),3
TAS,192,Bass,8288,Newnham,E,14462,2,"FRACALOSSI, Michael",Christian Democratic Party (Fred Nile Group),0
TAS,192,Bass,8288,Newnham,F,15662,0,F Ticket Votes,,30
TAS,192,Bass,8288,Newnham,F,15495,1,"MURPHY, Shayne",Independent,23
TAS,192,Bass,8288,Newnham,G,15655,0,G Ticket Votes,,6
TAS,192,Bass,8288,Newnham,G,14171,1,"MARTIN, Steve",Non Affiliated,0
TAS,192,Bass,8288,Newnham,G,14172,2,"NEWMAN, John",Non Affiliated,1
TAS,192,Bass,8288,Newnham,H,15661,0,H Ticket Votes,Australian Greens,151
TAS,192,Bass,8288,Newnham,H,15242,1,"#MILNE, Christine",Australian Greens,61
TAS,192,Bass,8288,Newnham,H,15243,2,"CASSIDY, Karen",Australian Greens,3
TAS,192,Bass,8288,Newnham,H,15246,3,"MILLEN, Tom",Australian Greens,4
TAS,192,Bass,8288,Newnham,I,15657,0,I Ticket Votes,Australian Labor Party,957
TAS,192,Bass,8288,Newnham,I,14292,1,"#O'BRIEN, Kerry",Australian Labor Party (Tasmanian Branch),112
TAS,192,Bass,8288,Newnham,I,14293,2,"#POLLEY, Helen",Australian Labor Party (Tasmanian Branch),12
TAS,192,Bass,8288,Newnham,I,14295,3,"PRICE, David",Australian Labor Party (Tasmanian Branch),14
TAS,192,Bass,8288,Newnham,I,14296,4,"WELLS, Nicole",Australian Labor Party (Tasmanian Branch),6
TAS,192,Bass,8288,Newnham,UG,14359,1,"NEWITT, Rob",Independent,1
TAS,192,Bass,8288,Newnham,UG,15538,2,"GARGAN, Ellen Mary",Independent,0
TAS,192,Bass,8288,Newnham,UG,14465,3,"OTTAVI, Dino",Independent,2
TAS,192,Bass,8288,Newnham,UG,15583,4,"McDONALD, John",Independent,1
TAS,192,Bass,8289,Blessington Upper,A,15659,0,A Ticket Votes,Liberal,37
TAS,192,Bass,8289,Blessington Upper,A,14621,1,"#ABETZ, Eric",Liberal Party of Australia - Tasmanian Division,1
TAS,192,Bass,8289,Blessington Upper,A,14622,2,"#BARNETT, Guy",Liberal Party of Australia - Tasmanian Division,3
TAS,192,Bass,8289,Blessington Upper,A,14623,3,"#PARRY, Stephen",Liberal Party of Australia - Tasmanian Division,0
TAS,192,Bass,8289,Blessington Upper,B,15656,0,B Ticket Votes,Citizens Electoral Council,0
TAS,192,Bass,8289,Blessington Upper,B,14266,1,"LARNER, Rob",Citizens Electoral Council of Australia,0
TAS,192,Bass,8289,Blessington Upper,B,14267,2,"WATTS, Adrian R",Citizens Electoral Council of Australia,0
