2004 Federal Election Senate First Preferences By Polling Place for State WA [12246 7/11/2005 11:26:55 PM]
StateAb	DivisionID	DivisionNm	PollingPlaceID	PollingPlaceNm	Ticket	CandidateID	BallotPosition	CandidateDetails	PartyNm	OrdinaryVotes
WA	235	Brand	7472	Baldivis	A	15746	0	A Ticket Votes		4
WA	235	Brand	7472	Baldivis	A	15333	1	CURTIS, Alicia	Non Affiliated	1
WA	235	Brand	7472	Baldivis	A	15334	2	OGLE, Steven	Non Affiliated	0
WA	235	Brand	7472	Baldivis	B	15748	0	B Ticket Votes	Family First	15
WA	235	Brand	7472	Baldivis	B	15335	1	IRVINE, Nigel	Family First Party	3
WA	235	Brand	7472	Baldivis	B	15336	2	HATCH, Don	Family First Party	0
WA	235	Brand	7472	Baldivis	C	15744	0	C Ticket Votes	Liberal	992
WA	235	Brand	7472	Baldivis	C	14897	1	#ELLISON, Chris	Liberal Party (W.A. Division) Inc.	17
WA	235	Brand	7472	Baldivis	C	14900	2	#CAMPBELL, Ian	Liberal Party (W.A. Division) Inc.	1
WA	235	Brand	7472	Baldivis	C	14903	3	#ADAMS, Judith	Liberal Party (W.A. Division) Inc.	2
WA	235	Brand	7472	Baldivis	C	14905	4	STECK, Michelle	Liberal Party (W.A. Division) Inc.	0
WA	235	Brand	7472	Baldivis	D	15742	0	D Ticket Votes	Australian Labor Party	500
WA	235	Brand	7472	Baldivis	D	14554	1	#EVANS, Chris	Australian Labor Party (Western Australian Branch)	12
WA	235	Brand	7472	Baldivis	D	14555	2	#STERLE, Glenn	Australian Labor Party (Western Australian Branch)	2
WA	235	Brand	7472	Baldivis	D	14556	3	BARZOTTO, Emiliano	Australian Labor Party (Western Australian Branch)	0
WA	235	Brand	7472	Baldivis	E	15752	0	E Ticket Votes	Non-Custodial Parents Party	4
WA	235	Brand	7472	Baldivis	E	15594	1	TAYLOR, Brian	Non-Custodial Parents Party	0
WA	235	Brand	7472	Baldivis	E	15596	2	DIXON, Geoff	Non-Custodial Parents Party	0
WA	235	Brand	7472	Baldivis	F	15750	0	F Ticket Votes	Progressive Labour Party	3
WA	235	Brand	7472	Baldivis	F	15603	1	LUPI, Mary	Progressive Labour Party	2
WA	235	Brand	7472	Baldivis	F	15606	2	KEARSLEY, Lyn	Progressive Labour Party	0
WA	235	Brand	7472	Baldivis	G	15739	0	G Ticket Votes	CDP Christian Party	33
WA	235	Brand	7472	Baldivis	G	14192	1	DUNJEY, Lachlan	Christian Democratic Party (Fred Nile Group)	3
WA	235	Brand	7472	Baldivis	G	14193	2	WATT, Peter	Christian Democratic Party (Fred Nile Group)	0
WA	235	Brand	7472	Baldivis	G	14194	3	GAGE, Norman	Christian Democratic Party (Fred Nile Group)	0
WA	235	Brand	7472	Baldivis	H	15749	0	H Ticket Votes	The Nationals	4
WA	235	Brand	7472	Baldivis	H	15522	1	GILL, Geoff	National Party of Australia	0
WA	235	Brand	7472	Baldivis	H	15525	2	HENNING, Norm	National Party of Australia	0
WA	235	Brand	7472	Baldivis	I	15747	0	I Ticket Votes	New Country Party	1
WA	235	Brand	7472	Baldivis	I	15329	1	HARRINGTON, Mal	New Country Party	0
WA	235	Brand	7472	Baldivis	I	15330	2	MANSELL, Brendan	New Country Party	0
WA	235	Brand	7472	Baldivis	J	15741	0	J Ticket Votes	Australian Progressive Alliance	1
WA	235	Brand	7472	Baldivis	J	14444	1	GIBSON, Geoff	Australian Progressive Alliance	0
WA	235	Brand	7472	Baldivis	J	14445	2	CRABBE, Stephen G	Australian Progressive Alliance	0
WA	235	Brand	7472	Baldivis	K	15738	0	K Ticket Votes	The Greens	90
WA	235	Brand	7472	Baldivis	K	14150	1	#SIEWERT, Rachel	Australian Greens	12
WA	235	Brand	7472	Baldivis	K	14153	2	HUGHES, Colin	Australian Greens	0
WA	235	Brand	7472	Baldivis	K	14155	3	NEWALL, Christopher	Australian Greens	0
WA	235	Brand	7472	Baldivis	K	14157	4	PETERSON, Felicity	Australian Greens	0
WA	235	Brand	7472	Baldivis	L	15740	0	L Ticket Votes	Pauline Hanson's One Nation	43
WA	235	Brand	7472	Baldivis	L	14446	1	HOPKINSON, James	Pauline Hanson's One Nation	1
WA	235	Brand	7472	Baldivis	L	14447	2	McLEAN, Ron	Pauline Hanson's One Nation	0
WA	235	Brand	7472	Baldivis	M	15745	0	M Ticket Votes	Australian Democrats	18
WA	235	Brand	7472	Baldivis	M	14918	1	GREIG, Brian	Australian Democrats	2
WA	235	Brand	7472	Baldivis	M	14922	2	LISOWSKI, Dominika	Australian Democrats	0
WA	235	Brand	7472	Baldivis	M	14925	3	MEOTTI, Jason	Australian Democrats	0
WA	235	Brand	7472	Baldivis	N	15743	0	N Ticket Votes	Citizens Electoral Council	8
WA	235	Brand	7472	Baldivis	N	14531	1	ROBINSON, Jean	Citizens Electoral Council of Australia	2
WA	235	Brand	7472	Baldivis	N	14532	2	SMITH, Stuart	Citizens Electoral Council of Australia	0
WA	235	Brand	7472	Baldivis	O	15751	0	O Ticket Votes	liberals for forests	4
WA	235	Brand	7472	Baldivis	O	15579	1	McKAY, Lesley	liberals for forests	1
WA	235	Brand	7472	Baldivis	O	15582	2	TAYLOR, Vicky	liberals for forests	0
WA	235	Brand	7472	Baldivis	UG	14541	1	EASTON, Julie	Independent	0
WA	235	Brand	7472	Baldivis	UG	15610	2	MARSDEN, Alexander	Independent	1
WA	235	Brand	7472	Baldivis	UG	15622	3	JARDINE, Jim	The Great Australians	0
WA	235	Brand	7478	Calista	A	15746	0	A Ticket Votes		9
WA	235	Brand	7478	Calista	A	15333	1	CURTIS, Alicia	Non Affiliated	4
WA	235	Brand	7478	Calista	A	15334	2	OGLE, Steven	Non Affiliated	0
WA	235	Brand	7478	Calista	B	15748	0	B Ticket Votes	Family First	31
WA	235	Brand	7478	Calista	B	15335	1	IRVINE, Nigel	Family First Party	3
WA	235	Brand	7478	Calista	B	15336	2	HATCH, Don	Family First Party	0
WA	235	Brand	7478	Calista	C	15744	0	C Ticket Votes	Liberal	815
WA	235	Brand	7478	Calista	C	14897	1	#ELLISON, Chris	Liberal Party (W.A. Division) Inc.	9
WA	235	Brand	7478	Calista	C	14900	2	#CAMPBELL, Ian	Liberal Party (W.A. Division) Inc.	0
WA	235	Brand	7478	Calista	C	14903	3	#ADAMS, Judith	Liberal Party (W.A. Division) Inc.	1
WA	235	Brand	7478	Calista	C	14905	4	STECK, Michelle	Liberal Party (W.A. Division) Inc.	0
WA	235	Brand	7478	Calista	D	15742	0	D Ticket Votes	Australian Labor Party	1292
WA	235	Brand	7478	Calista	D	14554	1	#EVANS, Chris	Australian Labor Party (Western Australian Branch)	23
WA	235	Brand	7478	Calista	D	14555	2	#STERLE, Glenn	Australian Labor Party (Western Australian Branch)	5
WA	235	Brand	7478	Calista	D	14556	3	BARZOTTO, Emiliano	Australian Labor Party (Western Australian Branch)	0
WA	235	Brand	7478	Calista	E	15752	0	E Ticket Votes	Non-Custodial Parents Party	3
WA	235	Brand	7478	Calista	E	15594	1	TAYLOR, Brian	Non-Custodial Parents Party	1
WA	235	Brand	7478	Calista	E	15596	2	DIXON, Geoff	Non-Custodial Parents Party	0
WA	235	Brand	7478	Calista	F	15750	0	F Ticket Votes	Progressive Labour Party	21
WA	235	Brand	7478	Calista	F	15603	1	LUPI, Mary	Progressive Labour Party	1
