2004 Federal Election Senate Votes By Division [12246 8/11/2005 11:10:15 PM]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,95060,73622,6580,788,4140,4658,89788,94.45
197,Aston,VIC,88549,71615,4693,419,3452,5222,85401,96.44
198,Ballarat,VIC,90409,70497,4070,859,6541,5093,87060,96.3
103,Banks,NSW,83292,66765,4699,512,3433,4070,79479,95.42
180,Barker,SA,100934,82583,5067,635,4760,3742,96787,95.89
104,Barton,NSW,84595,67734,4408,868,3610,3706,80326,94.95
192,Bass,TAS,67941,54930,2725,768,3308,3380,65111,95.83
199,Batman,VIC,85747,66971,5177,704,3250,4709,80811,94.24
200,Bendigo,VIC,94295,75688,4269,804,5440,4823,91024,96.53
105,Bennelong,NSW,86220,67985,4814,503,3998,4529,81829,94.91
106,Berowra,NSW,87078,67739,5475,452,5053,3926,82645,94.91
304,Blair,QLD,91529,73208,5519,590,2623,5210,87150,95.22
107,Blaxland,NSW,82445,66797,4354,792,2603,3211,77757,94.31
310,Bonner,QLD,87034,68693,5221,535,3124,5315,82888,95.24
182,Boothby,SA,95339,74907,6480,481,4539,4254,90661,95.09
155,Bowman,QLD,86262,68977,3563,482,4666,4368,82056,95.12
193,Braddon,TAS,69988,58700,2002,851,2970,2820,67343,96.22
108,Bradfield,NSW,90021,68351,5505,429,5769,4798,84852,94.26
235,Brand,WA,84223,64469,5691,1516,5028,2632,79336,94.2
156,Brisbane,QLD,89629,65733,7560,562,4331,5197,83383,93.03
201,Bruce,VIC,86999,68926,4747,709,3557,4769,82708,95.07
109,Calare,NSW,88134,67884,4485,824,8302,3092,84587,95.98
203,Calwell,VIC,87843,70455,5417,1039,4146,3107,84164,95.81
101,Canberra,ACT,109476,81293,2167,1189,16199,3646,104494,95.45
236,Canning,WA,84388,65353,7404,1168,3293,2661,79879,94.66
157,Capricornia,QLD,91027,71333,5095,726,3031,6295,86480,95
204,Casey,VIC,86943,68870,5255,710,3924,4923,83682,96.25
110,Charlton,NSW,85547,67244,5249,520,4796,4390,82199,96.09
111,Chifley,NSW,84431,67936,4873,710,3939,2612,80070,94.83
205,Chisholm,VIC,84907,65750,5535,472,3645,5604,81006,95.41
112,Cook,NSW,82675,64940,4807,626,4915,3723,79011,95.57
207,Corangamite,VIC,90877,70871,5225,764,5519,5365,87744,96.55
208,Corio,VIC,88186,70830,3641,820,4366,4397,84054,95.31
237,Cowan,WA,85393,67890,6780,1043,3075,2363,81151,95.03
113,Cowper,NSW,85043,67321,4582,791,5452,3075,81221,95.51
114,Cunningham,NSW,81844,63930,3369,191,6027,4939,78456,95.86
238,Curtin,WA,84216,63115,6518,1019,5115,3330,79097,93.92
158,Dawson,QLD,91615,73195,4067,799,4498,4160,86719,94.66
209,Deakin,VIC,87436,67330,5530,545,3790,6768,83963,96.03
194,Denison,TAS,69146,55280,3004,783,3458,3537,66062,95.54
252,Dickson,QLD,84201,67567,5150,408,3359,3970,80454,95.55
115,Dobell,NSW,85659,65457,6043,665,5582,4071,81818,95.52
210,Dunkley,VIC,90791,71837,4221,834,4737,5118,86747,95.55
117,Eden-Monaro,NSW,92532,70738,3560,511,8919,4611,88339,95.47
