2004 Federal Election House of Representatives Votes By Division [12246 8/11/2005 11:07:16 PM]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,95060,73562,6264,499,4024,4647,88996,93.62
197,Aston,VIC,88549,71585,4504,304,3401,5221,85015,96.01
198,Ballarat,VIC,90409,70503,3934,728,6484,5104,86753,95.96
103,Banks,NSW,83292,66734,4578,421,3401,4066,79200,95.09
180,Barker,SA,100934,82517,4935,464,4725,3735,96376,95.48
104,Barton,NSW,84595,67687,4232,719,3558,3696,79892,94.44
192,Bass,TAS,67941,54923,2685,700,3283,3382,64973,95.63
199,Batman,VIC,85747,66937,4905,499,3192,4697,80230,93.57
200,Bendigo,VIC,94295,75642,4135,702,5409,4821,90709,96.2
105,Bennelong,NSW,86220,67991,4710,403,3947,4525,81576,94.61
106,Berowra,NSW,87078,67759,5340,389,4988,3925,82401,94.63
304,Blair,QLD,91529,73203,5330,483,2577,5207,86800,94.83
107,Blaxland,NSW,82445,66699,4184,632,2557,3204,77276,93.73
310,Bonner,QLD,87034,68689,4991,400,3045,5327,82452,94.74
182,Boothby,SA,95339,74907,6270,301,4481,4225,90184,94.59
155,Bowman,QLD,86262,68968,3480,425,4629,4370,81872,94.91
193,Braddon,TAS,69988,58675,1966,801,2953,2818,67213,96.04
108,Bradfield,NSW,90021,68256,5378,331,5691,4789,84445,93.81
235,Brand,WA,84223,64415,5444,1238,4949,2624,78670,93.41
156,Brisbane,QLD,89629,65713,7288,377,4253,5187,82818,92.4
201,Bruce,VIC,86999,68822,4489,507,3491,4776,82085,94.35
109,Calare,NSW,88134,67844,4375,747,8260,3088,84314,95.67
203,Calwell,VIC,87843,70375,5411,776,4089,3108,83759,95.35
101,Canberra,ACT,109476,81243,2148,1075,16118,3638,104222,95.2
236,Canning,WA,84388,65297,7062,897,3233,2649,79138,93.78
157,Capricornia,QLD,91027,71289,4986,662,2996,6306,86239,94.74
204,Casey,VIC,86943,68834,5063,571,3879,4918,83265,95.77
110,Charlton,NSW,85547,67221,5095,436,4760,4382,81894,95.73
111,Chifley,NSW,84431,67864,4717,586,3861,2599,79627,94.31
205,Chisholm,VIC,84907,65772,5271,320,3573,5594,80530,94.84
112,Cook,NSW,82675,64883,4699,561,4863,3721,78727,95.22
207,Corangamite,VIC,90877,70808,5076,600,5451,5359,87294,96.06
208,Corio,VIC,88186,70824,3546,708,4330,4396,83804,95.03
237,Cowan,WA,85393,67858,6423,753,3021,2359,80414,94.17
113,Cowper,NSW,85043,67276,4494,720,5401,3065,80956,95.19
114,Cunningham,NSW,81844,63918,3283,169,5992,4941,78303,95.67
238,Curtin,WA,84216,63035,6218,779,5057,3329,78418,93.12
158,Dawson,QLD,91615,73170,3986,710,4468,4168,86502,94.42
209,Deakin,VIC,87436,67270,5305,386,3711,6766,83438,95.43
194,Denison,TAS,69146,55266,2936,695,3435,3537,65869,95.26
252,Dickson,QLD,84201,67542,4977,317,3312,3964,80112,95.14
115,Dobell,NSW,85659,65413,5894,533,5528,4067,81435,95.07
210,Dunkley,VIC,90791,71814,4038,672,4684,5116,86324,95.08
117,Eden-Monaro,NSW,92532,70752,3500,445,8857,4608,88162,95.28
159,Fadden,QLD,82141,61527,3735,711,6273,3499,75745,92.21
160,Fairfax,QLD,84401,64672,4203,580,5790,3619,78864,93.44
118,Farrer,NSW,85712,68829,2262,512,5662,4296,81561,95.16
161,Fisher,QLD,85985,65566,4437,587,5764,4287,80641,93.78
211,Flinders,VIC,90990,68976,5005,594,7018,5116,86709,95.3
162,Forde,QLD,86346,67290,5097,515,3212,4447,80561,93.3
239,Forrest,WA,87145,67693,6904,1239,4151,2061,82048,94.15
119,Fowler,NSW,82885,67523,4864,453,2074,2448,77362,93.34
195,Franklin,TAS,69794,56766,3509,684,2653,3147,66759,95.65
102,Fraser,ACT,118065,86947,2220,1568,17171,3929,111835,94.72
240,Fremantle,WA,83698,65355,5870,911,3472,2402,78010,93.2
212,Gellibrand,VIC,91016,71555,4531,957,4249,3715,85007,93.4
120,Gilmore,NSW,87620,64239,4631,572,10429,3782,83653,95.47
213,Gippsland,VIC,93062,71949,3274,697,8188,4889,88997,95.63
214,Goldstein,VIC,89587,69267,5069,383,4801,5228,84748,94.6
309,Gorton,VIC,92309,72503,4451,1049,5600,3206,86809,94.04
121,Grayndler,NSW,85864,65695,5899,761,4166,3285,79806,92.94
