2007 Federal Election House of Representatives Votes By Division [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:04 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,96700,74636,6733,214,4579,5303,91465,94.59
197,Aston,VIC,91728,70666,4899,87,6333,6428,88413,96.39
198,Ballarat,VIC,93644,69538,3839,110,10793,5698,89978,96.09
103,Banks,NSW,92720,72852,4957,190,5694,4416,88109,95.03
180,Barker,SA,102624,83281,4712,77,5741,4679,98490,95.97
104,Barton,NSW,91451,71485,5059,279,5693,4279,86795,94.91
192,Bass,TAS,68937,56412,2498,103,3634,3330,65977,95.71
199,Batman,VIC,87930,66638,5582,128,5560,4920,82828,94.2
200,Bendigo,VIC,97129,74382,3953,148,8735,6057,93275,96.03
105,Bennelong,NSW,97584,75768,4944,159,5953,5876,92700,95
106,Berowra,NSW,91690,70759,6153,140,6353,4128,87533,95.47
304,Blair,QLD,90979,74117,4248,99,3053,5114,86631,95.22
107,Blaxland,NSW,91858,71632,5526,391,4732,3301,85582,93.17
310,Bonner,QLD,90358,69588,5753,131,4459,6207,86138,95.33
182,Boothby,SA,96190,75135,6296,178,5105,5322,92036,95.68
155,Bowman,QLD,88989,70373,3340,129,6218,4895,84955,95.47
193,Braddon,TAS,70999,59562,1876,83,3813,3043,68377,96.31
108,Bradfield,NSW,93405,69458,5476,174,7559,5165,87832,94.03
235,Brand,WA,91945,69007,4963,240,8691,3085,85986,93.52
156,Brisbane,QLD,91638,67654,6839,177,5967,5655,86292,94.17
201,Bruce,VIC,88434,66835,4519,211,5908,6164,83637,94.58
109,Calare,NSW,89088,68533,4543,124,8194,3926,85320,95.77
203,Calwell,VIC,95608,73547,4780,271,7709,4362,90669,94.83
101,Canberra,ACT,122447,91808,1643,270,19032,4808,117561,96.01
236,Canning,WA,94661,72973,6983,242,5017,3508,88723,93.73
157,Capricornia,QLD,92750,71098,4374,113,6883,5572,88040,94.92
204,Casey,VIC,89302,66700,5171,124,7661,6271,85927,96.22
110,Charlton,NSW,91109,71838,4993,102,6079,4237,87249,95.76
111,Chifley,NSW,92569,72974,5125,166,6293,2766,87324,94.33
205,Chisholm,VIC,86084,63426,5780,118,6024,6665,82013,95.27
112,Cook,NSW,93393,73123,5012,151,6874,4412,89572,95.91
207,Corangamite,VIC,96133,71862,5053,64,9611,6151,92741,96.47
208,Corio,VIC,90390,69507,3688,181,7417,5461,86254,95.42
237,Cowan,WA,93421,74039,6605,310,4383,3200,88537,94.77
113,Cowper,NSW,92762,72626,3843,95,7968,3735,88267,95.15
114,Cunningham,NSW,91665,70723,3831,70,8472,4604,87700,95.67
238,Curtin,WA,86138,65009,5956,173,5636,3920,80694,93.68
158,Dawson,QLD,87453,67825,4146,116,6511,4464,83062,94.98
209,Deakin,VIC,87670,64649,5493,102,6673,7149,84066,95.89
194,Denison,TAS,68848,53865,3228,125,4712,3680,65610,95.3
252,Dickson,QLD,89358,70331,6205,72,4018,5201,85827,96.05
115,Dobell,NSW,90369,67539,5550,108,8390,4528,86115,95.29
210,Dunkley,VIC,93176,70289,4410,117,7382,6534,88732,95.23
117,Eden-Monaro,NSW,91584,68671,3334,102,10419,5367,87893,95.97
159,Fadden,QLD,92901,69912,4363,142,7403,5367,87187,93.85
160,Fairfax,QLD,90202,67514,4934,125,7345,5101,85019,94.25
118,Farrer,NSW,93915,72886,1623,89,9562,5526,89686,95.5
