2007 Federal Election House of Representatives Party Representation [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:03 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
PartyAb,Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Total,LastElectionTotal
LP,Liberal,15,14,10,11,5,0,0,0,55,74
ALP,Australian Labor Party,28,21,15,4,6,5,2,2,83,60
GRN,The Greens,0,0,0,0,0,0,0,0,0,0
NP,The Nationals,5,2,3,0,0,0,0,0,10,12
FFP,Family First,0,0,0,0,0,0,0,0,0,0
DEM,Democrats,0,0,0,0,0,0,0,0,0,0
ON,One Nation,0,0,0,0,0,0,0,0,0,0
CDP,CDP Christian Party,0,0,0,0,0,0,0,0,0,0
CEC,Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
CLP,CLP - The Territory Party,0,0,0,0,0,0,0,0,0,1
SAL,Socialist Alliance,0,0,0,0,0,0,0,0,0,0
FPY,The Fishing Party,0,0,0,0,0,0,0,0,0,0
DLP,DLP - Democratic Labor Party,0,0,0,0,0,0,0,0,0,0
CCC,Climate Change Coalition,0,0,0,0,0,0,0,0,0,0
CCE,Conservatives for Climate and Environment Incorporated,0,0,0,0,0,0,0,0,0,0
LDP,Liberty and Democracy Party,0,0,0,0,0,0,0,0,0,0
NCP,Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
SEP,Socialist Equality Party,0,0,0,0,0,0,0,0,0,0
WWW,What Women Want (Australia),0,0,0,0,0,0,0,0,0,0
IND,Independent,1,0,1,0,0,0,0,0,2,3
NAFD,Non Affiliated,0,0,0,0,0,0,0,0,0,0
