2007 Federal Election Senate Candidates [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:28 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
VIC,CEC,Citizens Electoral Council,17541,AFFLECK,Rachel,N,N
QLD,,,18510,ALBERTS,Katrina,N,N
SA,ON,One Nation,17540,ALDRIDGE,Mark,N,N
VIC,DEM,Australian Democrats,17847,ALLISON,Lyn,N,N
WA,CCE,Conservatives for Climate and Environment,18326,ANTON,Shirley,N,N
NSW,ALP,Labor,17476,ARBIB,Mark,Y,N
WA,,,17367,ARMSTRONG,Jennifer,N,N
SA,AFLP,Australian Fishing and Lifestyle Party,17382,ARMSTRONG,Neil,N,N
QLD,ON,One Nation WA,18352,ARROITA,Lew,N,N
NT,IND,Independent,17207,ATKINSON,Bernardine M C,N,N
NSW,,,17445,AUGUST,John P,N,N
NSW,SAL,Socialist Alliance,17835,BAINBRIDGE,Alex,N,N
QLD,,,18508,BAKER,James,N,N
VIC,SEP,Socialist Equality Party,17293,BAPTIST,Tania,N,N
VIC,SOL,Senator On-Line,17346,BARRETT,Jenny,N,N
QLD,DEM,Democrats,18336,BARTLETT,Andrew,N,Y
WA,WWW,What Women Want (Australia),18319,BASDEN,Meryki,N,N
SA,FFP,Family First Party,17572,BATES,Tony,N,N
QLD,SOL,Senator On-Line,17360,BATESON,Sharon,N,N
SA,DEM,Australian Democrats,17975,BAUMANN,Max,N,N
NSW,SEP,Socialist Equality Party,17831,BEAMS,Nick,N,N
TAS,FFP,Family First,17537,BENNETT,Andrew,N,N
QLD,FFP,Family First,17817,BENSON-STOTT,Elizabeth,N,N
NSW,LDP,LDP,17827,BEREGSZASZI,Janos,N,N
SA,LP,Liberal,17615,BERNARDI,Cory,Y,Y
QLD,WWW,What Women Want (Australia),18183,BEUTEL,Sonya,N,N
VIC,GRN,Australian Greens,17865,BHATHAL,Alexandra,N,N
TAS,ALP,Australian Labor Party,17497,BILYK,Catryna,Y,N
SA,LP,Liberal,17616,BIRMINGHAM,Simon,Y,Y
WA,ALP,Australian Labor Party,18055,BISHOP,Mark,Y,Y
WA,CCC,Climate Change Coalition,18437,BISHOP,Sarah,N,N
NSW,ASP,The Australian Shooters Party,18268,BORSAK,Robert,N,N
SA,ASP,The Australian Shooters Party,17629,BORUN,Basil C P,N,N
QLD,NP,The Nationals,17805,BOSWELL,Ron,Y,Y
WA,DLP,D.L.P. - Democratic Labor Party,18300,BOULGER,Bob,N,N
QLD,WWW,What Women Want (Australia),18181,BOUSFIELD,Anne,N,N
VIC,FFP,Family First,17628,BOWN SEELEY,Ann,N,N
QLD,LP,Liberal,17804,BOYCE,Sue,Y,Y
NSW,,,18501,BRADLEY,Max,N,N
QLD,CDP,Christian Democratic Party (Fred Nile Group),17350,BRICE,Linda,N,N
QLD,CDP,Christian Democratic Party (Fred Nile Group),17351,BRICE,Malcolm,N,N
NSW,FPY,The Fishing Party,18335,BRIDGE,Garth,N,N
SA,,,18424,BROOK,A,N,N
TAS,GRN,The Greens,17583,BROWN,Bob,Y,Y
TAS,ALP,Australian Labor Party,17496,BROWN,Carol,Y,Y
WA,LP,Liberal,17232,BROWN,Matt,N,N
QLD,,,17327,BROWN,Michael,N,N
NSW,CA,Carers Alliance,18504,BROWN,Nell,N,N
NSW,,,17444,BRYCE,Ian R,N,N
SA,,,18469,BRYSON,Roger,N,N
QLD,FFP,Family First,17811,BUCHANAN,Jeff,N,N
QLD,NP,The Nationals,17808,BUCHHOLZ,Scott,N,N
NSW,PUA,Pauline,18498,BURSTON,Brian,N,N
TAS,LP,Liberal,17425,BUSHBY,David,Y,Y
NSW,ON,One Nation,18307,BUSSA,Peter,N,N
VIC,SEP,Socialist Equality Party,17292,BYRNE,Peter,N,N
NSW,WWW,What Women Want (Australia),18515,CAINES,Justine,N,N
NSW,ALP,Labor,17477,CAMERON,Doug,Y,N
WA,,,18550,CAMPBELL,Graeme,N,N
NSW,HOV,Hear Our Voice,18298,CARROLL,Lindsay,N,N
NSW,PUA,Pauline,18499,CARTER,John E,N,N
NSW,CA,Carers Alliance,18503,CARTER,Marylou,N,N
