State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
QLD,6,2418907,345559,1,25, A,BOUSFIELD,Anne,17259,17259,17259,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,26, A,BEUTEL,Sonya,111,111,111,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,27, B,HUMPHREYS,John,3877,3877,3877,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,28, B,CLARK,Joseph,13,13,13,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,29, C,JOHNSON,Phil,8691,8691,8691,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,30, C,POSSELT,Steve,127,127,127,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,31, D,MADDISON,Felicity,4796,4796,4796,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,32, D,GOW,Robert,26,26,26,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,33, E,PEAKE,Ben,1235,1235,1235,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,34, E,BATESON,Sharon,16,16,16,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,35, F,WATSON,Sam,1906,1906,1906,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,36, F,TAYLOR,Amelia,35,35,35,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,37, G,SMITH,Bob,20262,20262,20262,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,38, G,STOCKER,Elizabeth,28,28,28,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,39, H,BUCHANAN,Jeff,52781,52781,52781,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,40, H,SPENCER,Beryl J,60,60,60,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,41, H,MANNERS,Merlin,33,33,33,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,42, H,EATON,Cathy,62,62,62,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,43, H,HART,Shaun,222,222,222,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,44, H,BENSON-STOTT,Elizabeth,91,91,91,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,45, I,BARTLETT,Andrew,45289,45289,45289,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
QLD,6,2418907,345559,1,46, I,NEILL,Sharon,295,295,295,1,, ,0,"MACDONALD, I has 626690 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.64457768. 972249 papers are involved from count number(s) 1"
