State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
TAS,6,326846,46693,1,12, A,CASHION,Debra,2427,2427,2427,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,13, A,GLEESON,Belinda,113,113,113,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,14, B,BROWN,Bob,56559,56559,56559,1,Elected,#,3,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,15, B,WILKIE,Andrew,2433,2433,2433,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,16, B,HOUGHTON,Sophie Louise,178,178,178,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,17, B,JORDAN,Scott,84,84,84,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,18, C,MARTIN,Steve,764,764,764,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,19, C,NELSON,Karley,25,25,25,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,20, D,SHERRY,Nick,127677,127677,127677,1,Elected,#,1,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,21, D,BROWN,Carol,2310,2310,2310,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,22, D,BILYK,Catryna,1068,1068,1068,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,23, E,CREA,Pat,1974,1974,1974,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,24, E,SHACKCLOTH,Joan,87,87,87,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,25, F,COLBECK,Richard M,119183,119183,119183,1,Elected,#,2,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,26, F,BUSHBY,David,2159,2159,2159,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,27, F,MORRIS,Don,861,861,861,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,28, G,OTTAVI,Dino,1266,1266,1266,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,29, G,COOK,Mick,48,48,48,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,30, G,SMALLBANE,Chris,84,84,84,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,31, H,DOYLE,Robyn,226,226,226,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,32, H,HAMMOND,David,42,42,42,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,33, I,IRELAND,Bede,287,287,287,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,34, I,HAMILTON,Luke,15,15,15,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,35, J,LARNER,Caroline,296,296,296,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,36, J,PHIBBS,Michael,17,17,17,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,37, K,PETRUSMA,Jacquie,6355,6355,6355,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,38, K,BENNETT,Andrew,156,156,156,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,39, K,ROBERTS,Betty,152,152,152,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,1001,  ,Exhausted,,0,0,0,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,1,1002,  ,Gain/Loss,,0,0,0,1,, ,0,"SHERRY, N has 80984 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.63428809. 127677 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,12, A,CASHION,Debra,35,22,2449,0.634288086342881,, ,0,""
TAS,6,326846,46693,2,13, A,GLEESON,Belinda,13,8,121,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,14, B,BROWN,Bob,0,0,56559,0,Elected, ,3,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,15, B,WILKIE,Andrew,288,182,2615,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,16, B,HOUGHTON,Sophie Louise,11,6,184,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,17, B,JORDAN,Scott,7,4,88,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,18, C,MARTIN,Steve,53,33,797,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,19, C,NELSON,Karley,3,1,26,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,20, D,SHERRY,Nick,-127677,-80984,46693,0.634288086342881,Elected, ,1,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,21, D,BROWN,Carol,125961,79895,82205,0.634288086342881,Elected,#,4,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,22, D,BILYK,Catryna,969,614,1682,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,23, E,CREA,Pat,36,22,1996,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,24, E,SHACKCLOTH,Joan,22,13,100,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,25, F,COLBECK,Richard M,0,0,119183,0,Elected, ,2,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,26, F,BUSHBY,David,90,57,2216,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,27, F,MORRIS,Don,19,12,873,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
