State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
VIC,6,3182369,454625,1,24, A,HOWARD,Ainslie,24620,24620,24620,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,25, A,ROZAIRO,Sashikala,139,139,139,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,26, B,STEEL,Nick,13299,13299,13299,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,27, B,SHORE,Daniel,55,55,55,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,28, C,ALLISON,Lyn,51973,51973,51973,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,29, C,CHIPP,Greg,371,371,371,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,30, C,McCUBBIN,Jo,252,252,252,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,31, D,LOVE,Madeleine,13955,13955,13955,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,32, D,THOMPSON,Robyn,73,73,73,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,33, E,ROSE,Robert,3075,3075,3075,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,34, E,BARRETT,Jenny,31,31,31,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,35, F,COLLINS,Jacinta,1324729,1324729,1324729,1,Elected,#,1,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,36, F,MARSHALL,Gavin,780,780,780,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,37, F,FEENEY,David,651,651,651,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,38, F,LEWIS,Marg,916,916,916,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,39, G,PARKER,Brett,21335,21335,21335,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,40, G,GRAHAM,Matt,63,63,63,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,41, H,FIFIELD,Mitch,1254606,1254606,1254606,1,Elected,#,2,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,42, H,KROGER,Helen,1025,1025,1025,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,43, H,RYAN,Scott,678,678,678,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,44, H,SWAYN,Simon,840,840,840,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,45, I,TOSCANO,Joseph,5663,5663,5663,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,46, I,PIERCE,Jude,32,32,32,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,47, J,BYRNE,Peter,2382,2382,2382,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,48, J,BAPTIST,Tania,21,21,21,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,49, K,PLUMRIDGE,Gary,79791,79791,79791,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
VIC,6,3182369,454625,1,50, K,RAWSON,Miriam,76,76,76,1,, ,0,"COLLINS, J has 870104 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.65681660. 1324729 papers are involved from count number(s) 1"
