2007 Federal Election Senate Votes By Division [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:29 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,96700,74686,6943,385,4671,5320,92005,95.14
197,Aston,VIC,91728,70668,5003,155,6387,6409,88622,96.61
198,Ballarat,VIC,93644,69562,3936,180,10858,5673,90209,96.33
103,Banks,NSW,92720,72822,5144,366,5792,4424,88548,95.5
180,Barker,SA,102624,83272,4809,141,5770,4668,98660,96.14
104,Barton,NSW,91451,71499,5282,469,5782,4279,87311,95.47
192,Bass,TAS,68937,56431,2512,147,3648,3319,66057,95.82
199,Batman,VIC,87930,66690,5752,220,5630,4915,83207,94.63
200,Bendigo,VIC,97129,74540,4041,238,8781,6039,93639,96.41
105,Bennelong,NSW,97584,75756,5061,281,6021,5866,92985,95.29
106,Berowra,NSW,91690,70840,6285,241,6421,4117,87904,95.87
304,Blair,QLD,90979,74071,4345,208,3098,5068,86790,95.4
107,Blaxland,NSW,91858,71605,5814,769,4856,3294,86338,93.99
310,Bonner,QLD,90358,69777,6031,225,4533,6173,86739,95.99
182,Boothby,SA,96190,75184,6366,310,5080,5309,92249,95.9
155,Bowman,QLD,88989,70397,3403,215,6241,4848,85104,95.63
193,Braddon,TAS,70999,59586,1899,108,3833,3040,68466,96.43
108,Bradfield,NSW,93405,69496,5672,298,7765,5158,88389,94.63
235,Brand,WA,91945,69062,5213,433,8776,3079,86563,94.15
156,Brisbane,QLD,91638,67688,7082,319,6051,5628,86768,94.69
201,Bruce,VIC,88434,66830,4668,368,5998,6138,84002,94.99
109,Calare,NSW,89088,68550,4642,176,8276,3934,85578,96.06
203,Calwell,VIC,95608,73630,4920,453,7779,4364,91146,95.33
101,Canberra,ACT,122447,91820,1659,345,19097,4811,117732,96.15
236,Canning,WA,94661,72984,7226,442,5085,3494,89231,94.26
157,Capricornia,QLD,92750,71520,4412,193,6978,5541,88644,95.57
