2010 Federal Election House of Representatives Party Representation [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:21 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
PartyAb,Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Total,LastElectionTotal
ALP,Australian Labor Party,26,22,8,3,6,4,2,1,72,83
LP,Liberal,16,12,0,11,5,0,0,0,44,55
LNQ,Liberal National Party of Queensland,0,0,21,0,0,0,0,0,21,0
GRN,The Greens,0,1,0,0,0,0,0,0,1,0
NP,The Nationals,4,2,0,1,0,0,0,0,7,10
FFP,Family First,0,0,0,0,0,0,0,0,0,0
CDP,CDP Christian Party,0,0,0,0,0,0,0,0,0,0
DEM,Democrats,0,0,0,0,0,0,0,0,0,0
CLP,Country Liberals,0,0,0,0,0,0,0,1,1,0
ON,One Nation,0,0,0,0,0,0,0,0,0,0
CEC,Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
LDP,Liberal Democrats (LDP),0,0,0,0,0,0,0,0,0,0
SAL,Socialist Alliance,0,0,0,0,0,0,0,0,0,0
DLP,DLP - Democratic Labor Party,0,0,0,0,0,0,0,0,0,0
SEP,Socialist Equality Party,0,0,0,0,0,0,0,0,0,0
AFN,Australia First Party (NSW) Incorporated,0,0,0,0,0,0,0,0,0,0
ASXP,Australian Sex Party,0,0,0,0,0,0,0,0,0,0
BAP,Building Australia Party,0,0,0,0,0,0,0,0,0,0
CA,Carers Alliance,0,0,0,0,0,0,0,0,0,0
CAL,Communist Alliance,0,0,0,0,0,0,0,0,0,0
NCP,Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
SPA,Secular Party of Australia,0,0,0,0,0,0,0,0,0,0
TCS,The Climate Sceptics,0,0,0,0,0,0,0,0,0,0
IND,Independent,2,0,1,0,0,1,0,0,4,2
NAFD,Non Affiliated,0,0,0,0,0,0,0,0,0,0
