State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
NT,2,96687,32230,1,7, A,SHUTT,Seranna Jane,4882,4882,4882,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,8, A,LEITENS,Shana Louise,48,48,48,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,9, B,HOARE,Phillip,4543,4543,4543,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,10, B,GRAHAM,Matt,97,97,97,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,11, C,SCULLION,Nigel,38964,38964,38964,1.000000000000000000000000000,Elected,True,1,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,12, C,HARKER,Rhianna,304,304,304,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,13, D,WORK,Vernon,857,857,857,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,14, D,SETTERBERG,Graham,31,31,31,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,15, E,CROSSIN,Trish,32932,32932,32932,1.000000000000000000000000000,Elected,True,2,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,16, E,GARDINER,Matthew John,321,321,321,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,17, F,WILLIAMS,Warren H,12634,12634,12634,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,18, F,HUDSON,Debbie,471,471,471,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,19,UG,LEE,Ian,314,314,314,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,20,UG,RYAN,Maurie Japarta,119,119,119,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,21,UG,DEAN,Duncan,170,170,170,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,1001, ,Exhausted,,0,0,0,1.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
NT,2,96687,32230,1,1002, ,Gain/Loss,,0,0,0,0.000000000000000000000000000,,,0,"SCULLION, N, CROSSIN, T have been elected to the remaining positions."
