State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
QLD,6,2450511,350074,1,24, A,READING,Scott,8821,8821,8821,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,25, A,EMBREY,Joh,87,87,87,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,26, B,VETTER,Anne,6709,6709,6709,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,27, B,HORNE,Vicki,49,49,49,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,28, C,SPENCER,Paul,1134,1134,1134,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,29, C,SPENCER,Mary,29,29,29,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,30, D,FRANCIS,Wendy,83245,83245,83245,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,31, D,FINDLAY,Peter,348,348,348,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,32, D,NICKSON,Amanda,193,193,193,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,33, E,PETER,Andrew Mark,42526,42526,42526,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,34, E,HUGGETT,Chris,143,143,143,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,35, F,PYKE,John Richard,748,748,748,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,36, F,TOOLEY,Christopher Ronald,17,17,17,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,37, G,LINDSAY-PARK,E-Jay,1026,1026,1026,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
QLD,6,2450511,350074,1,38, G,GUERIN,Lachlan,5,5,5,1.000000000000000000000000000,,,0,"BRANDIS ,G has 653995 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.651344678503170. 1004069 papers are involved from count number(s) 1."
