State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
SA,6,1009578,144226,1,19, A,ASHBY,Leon Neville,4621,4621,4621,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,20, A,ASHBY,Nathan,51,51,51,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,21, B,ALDRIDGE,Mark,2151,2151,2151,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,22, B,COCHRANE,Christopher,35,35,35,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,23, C,GALLACHER,Alex,383795,383795,383795,1.000000000000000000000000000,Elected,True,1,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,24, C,McEWEN,Anne,1492,1492,1492,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,25, C,WORTLEY,Dana,1290,1290,1290,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,26, D,FISHER,Mary Jo,373841,373841,373841,1.000000000000000000000000000,Elected,True,2,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,27, D,EDWARDS,Sean,667,667,667,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,28, D,FAWCETT,David,1602,1602,1602,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
