State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
WA,6,1234219,176318,1,23, A,FELS,Anthony,3416,3416,3416,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,24, A,CHANDRA,Felly,31,31,31,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,25, B,EMBRY,Paddy,964,964,964,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,26, B,FINNEGAN,Juanita,24,24,24,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,27, C,SIEWERT,Rachel,171047,171047,171047,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,28, C,MUIR,Kado,425,425,425,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,29, C,CUNNINGHAM,Christine,855,855,855,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,30, D,McCOURT,John,42090,42090,42090,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,31, D,FLEAY,Ronnie,96,96,96,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
WA,6,1234219,176318,1,32, D,ROSE,Michael Eric,148,148,148,1.000000000000000000000000000,,,0,"CORMANN ,M has 352453 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.666551304818153. 528771 papers are involved from count number(s) 1."
