2010 Federal Election Senate Votes By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:53 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,98519,73442,7122,567,3903,7016,92050,93.43
197,Aston,VIC,93447,74314,4621,334,3495,6286,89050,95.29
198,Ballarat,VIC,97756,79434,3701,465,3616,6041,93257,95.4
103,Banks,NSW,98742,78134,5349,663,3170,4860,92176,93.35
180,Barker,SA,104845,85263,5172,377,3181,6046,100039,95.42
104,Barton,NSW,95231,74211,4616,820,3993,4426,88066,92.48
192,Bass,TAS,71686,58788,2410,150,1819,5153,68320,95.3
199,Batman,VIC,89131,67324,5312,393,3140,6138,82307,92.34
200,Bendigo,VIC,100610,81774,3771,459,2979,7175,96158,95.57
105,Bennelong,NSW,98915,78220,4421,460,3962,6190,93253,94.28
106,Berowra,NSW,95124,76495,5639,375,3872,4034,90415,95.05
304,Blair,QLD,83045,66639,4271,466,1448,5851,78675,94.74
107,Blaxland,NSW,95362,72585,6005,1111,3504,3959,87164,91.4
310,Bonner,QLD,92661,69769,6277,329,3499,7334,87208,94.12
182,Boothby,SA,97860,73319,6532,462,2657,7063,90033,92
155,Bowman,QLD,91856,74301,3691,317,2263,6452,87024,94.74
193,Braddon,TAS,71576,59997,2174,131,2038,4232,68572,95.8
108,Bradfield,NSW,97255,75668,4954,351,5213,5100,91286,93.86
235,Brand,WA,88186,70738,5436,519,2657,3561,82911,94.02
156,Brisbane,QLD,92197,65448,7829,519,5547,5839,85182,92.39
201,Bruce,VIC,88124,67091,4690,640,2935,6369,81725,92.74
109,Calare,NSW,98463,84919,3736,398,2488,2838,94379,95.85
203,Calwell,VIC,101342,81114,5089,781,2531,4682,94197,92.95
101,Canberra,ACT,124294,105469,1697,496,6239,4362,118263,95.15
236,Canning,WA,90079,68642,7566,498,3100,4931,84737,94.07
157,Capricornia,QLD,91961,72122,4784,332,2759,6125,86122,93.65
204,Casey,VIC,92317,73440,4773,410,2733,6674,88030,95.36
110,Charlton,NSW,94474,76211,4693,431,3777,4781,89893,95.15
111,Chifley,NSW,97605,79483,6020,624,1746,3275,91148,93.38
205,Chisholm,VIC,86220,64081,5598,342,3612,7226,80859,93.78
112,Cook,NSW,100733,83805,4307,454,3007,3989,95562,94.87
207,Corangamite,VIC,101512,80842,5095,407,3941,6982,97267,95.82
208,Corio,VIC,91924,73492,3575,364,3259,6180,86870,94.5
237,Cowan,WA,89536,70131,6517,516,3531,4317,85012,94.95
