2010 Federal Election House of Representatives Votes By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:22 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,98519,73423,6788,330,3791,7019,91351,92.72
197,Aston,VIC,93447,74337,4396,174,3439,6325,88671,94.89
198,Ballarat,VIC,97756,79382,3591,301,3558,6063,92895,95.03
103,Banks,NSW,98742,78163,5033,386,3069,4883,91534,92.7
180,Barker,SA,104845,85240,5042,242,3135,6054,99713,95.11
104,Barton,NSW,95231,74236,4315,408,3861,4435,87255,91.62
192,Bass,TAS,71686,58770,2384,81,1808,5173,68216,95.16
199,Batman,VIC,89131,67296,4966,184,3048,6171,81665,91.62
200,Bendigo,VIC,100610,81794,3650,297,2915,7197,95853,95.27
105,Bennelong,NSW,98915,78035,4158,260,3853,6198,92504,93.52
106,Berowra,NSW,95124,76460,5397,194,3778,4018,89847,94.45
304,Blair,QLD,83045,66483,4037,210,1393,5875,77998,93.92
107,Blaxland,NSW,95362,72548,5570,522,3363,3908,85911,90.09
310,Bonner,QLD,92661,69767,5916,155,3369,7387,86594,93.45
182,Boothby,SA,97860,73286,6274,281,2608,7058,89507,91.46
155,Bowman,QLD,91856,74281,3476,138,2221,6501,86617,94.3
193,Braddon,TAS,71576,59975,2158,84,2024,4225,68466,95.65
108,Bradfield,NSW,97255,75595,4792,214,5139,5098,90838,93.4
235,Brand,WA,88186,70725,5180,264,2594,3569,82332,93.36
156,Brisbane,QLD,92197,65510,7279,222,5354,5853,84218,91.35
201,Bruce,VIC,88124,67046,4391,329,2826,6375,80967,91.88
109,Calare,NSW,98463,84871,3557,196,2400,2849,93873,95.34
203,Calwell,VIC,101342,81207,4852,383,2452,4774,93668,92.43
101,Canberra,ACT,124294,105358,1688,329,6174,4362,117911,94.86
236,Canning,WA,90079,68615,7149,207,2983,4962,83916,93.16
157,Capricornia,QLD,91961,72145,4573,114,2669,6142,85643,93.13
204,Casey,VIC,92317,73407,4592,252,2677,6664,87592,94.88
110,Charlton,NSW,94474,76165,4459,187,3674,4771,89256,94.48
111,Chifley,NSW,97605,79446,5765,302,1682,3273,90468,92.69
205,Chisholm,VIC,86220,64059,5323,189,3513,7246,80330,93.17
112,Cook,NSW,100733,83739,4123,289,2963,4002,95116,94.42
207,Corangamite,VIC,101512,80880,4878,191,3857,7010,96816,95.37
208,Corio,VIC,91924,73468,3440,237,3209,6212,86566,94.17
237,Cowan,WA,89536,70099,6171,290,3473,4341,84374,94.23
113,Cowper,NSW,94654,78017,3389,255,3118,4246,89025,94.05
114,Cunningham,NSW,100643,82332,4234,145,2783,4879,94373,93.77
238,Curtin,WA,90430,68423,5919,237,5261,4458,84298,93.22
158,Dawson,QLD,94533,75783,4794,144,1937,5361,88019,93.11
209,Deakin,VIC,87710,68067,4770,146,2771,7213,82967,94.59
194,Denison,TAS,71350,57801,2968,205,1949,4371,67294,94.32
252,Dickson,QLD,90130,70787,5286,149,2630,6354,85206,94.54
115,Dobell,NSW,93646,76424,4685,272,1874,4792,88047,94.02
210,Dunkley,VIC,95299,74414,4246,228,3063,7347,89298,93.7
312,Durack,WA,85811,64809,5255,330,2546,2736,75676,88.19
117,Eden-Monaro,NSW,96465,78869,2463,175,4175,5371,91053,94.39
159,Fadden,QLD,85225,66501,4103,222,2424,5076,78326,91.9
160,Fairfax,QLD,89726,70829,4484,129,2721,5089,83252,92.78
