2013 Federal Election House of Representatives Votes By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:36 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,102976,76216,6819,613,3407,8171,95226,92.47
197,Aston,VIC,94357,73751,3543,246,3441,8407,89388,94.73
198,Ballarat,VIC,103500,83319,3009,277,2735,8901,98241,94.92
103,Banks,NSW,101490,78234,4256,316,4131,7312,94249,92.87
180,Barker,SA,103347,84747,3740,207,2846,6243,97783,94.62
104,Barton,NSW,98663,76455,4001,372,4096,6025,90949,92.18
192,Bass,TAS,72226,58993,2001,244,2018,4938,68194,94.42
199,Batman,VIC,103239,73750,5994,333,5571,8916,94564,91.6
200,Bendigo,VIC,102928,81508,3061,397,3083,10070,98119,95.33
105,Bennelong,NSW,102508,79133,3486,258,4213,8632,95722,93.38
106,Berowra,NSW,97000,76980,4599,89,2999,7076,91743,94.58
304,Blair,QLD,88656,69148,4018,385,2094,8083,83728,94.44
107,Blaxland,NSW,100261,76634,4492,450,2991,5990,90557,90.32
310,Bonner,QLD,95475,70561,5497,273,2969,10471,89771,94.03
182,Boothby,SA,104032,80317,5979,351,2945,8115,97707,93.92
155,Bowman,QLD,95879,76698,3087,176,2933,8118,91012,94.92
193,Braddon,TAS,71718,60298,1565,240,2057,4224,68384,95.35
108,Bradfield,NSW,100458,77948,4567,118,3752,7700,94085,93.66
235,Brand,WA,99867,76965,4927,418,3572,6251,92133,92.26
156,Brisbane,QLD,97446,69708,6461,402,4125,9665,90361,92.73
201,Bruce,VIC,94772,69459,4123,326,3420,10127,87455,92.28
109,Calare,NSW,102038,88384,2671,210,2369,3631,97265,95.32
203,Calwell,VIC,102682,75922,5182,532,3052,8682,93370,90.93
101,Canberra,ACT,127359,107812,1590,340,5585,5399,120726,94.79
236,Canning,WA,101804,75700,6651,451,3991,6873,93666,92.01
157,Capricornia,QLD,94409,75474,3904,276,1811,8062,89527,94.83
204,Casey,VIC,97761,75225,3965,370,3228,10032,92820,94.95
110,Charlton,NSW,98551,80217,3742,297,1933,6829,93018,94.39
111,Chifley,NSW,102369,82933,4082,361,1991,5624,94991,92.79
205,Chisholm,VIC,96315,67981,5330,293,4041,12266,89911,93.35
112,Cook,NSW,104183,84577,3588,301,3503,6143,98112,94.17
207,Corangamite,VIC,101640,78259,4564,151,3659,10472,97105,95.54
208,Corio,VIC,101210,79919,3475,470,2414,9024,95302,94.16
237,Cowan,WA,95477,71927,5889,371,4894,5843,88924,93.14
113,Cowper,NSW,97180,81157,2647,174,2818,4395,91191,93.84
114,Cunningham,NSW,104092,83119,3721,222,3810,6513,97385,93.56
238,Curtin,WA,94323,69026,5611,325,5842,6846,87650,92.93
158,Dawson,QLD,98152,77345,4182,283,2400,7876,92086,93.82
209,Deakin,VIC,97381,72466,4685,279,3505,11294,92229,94.71
194,Denison,TAS,71804,56265,2723,242,2307,6144,67681,94.26
252,Dickson,QLD,94375,72109,5094,252,3647,8449,89551,94.89
115,Dobell,NSW,99239,80331,3820,243,2146,6594,93134,93.85
210,Dunkley,VIC,99004,72867,4022,364,3621,11484,92358,93.29
312,Durack,WA,90852,66698,4459,434,2769,4732,79092,87.06
117,Eden-Monaro,NSW,100021,80675,1891,179,4765,7043,94553,94.53
159,Fadden,QLD,91759,69361,4014,296,2788,8601,85060,92.7
160,Fairfax,QLD,95488,73710,4258,220,4395,6593,89176,93.39
118,Farrer,NSW,94524,77788,1145,185,3927,6308,89353,94.53
161,Fisher,QLD,88383,68041,4023,135,3734,6725,82658,93.52
211,Flinders,VIC,105435,78759,4625,321,5366,9766,98837,93.74
311,Flynn,QLD,95357,72696,5029,308,2978,9244,90255,94.65
162,Forde,QLD,88345,65766,4700,294,2322,8726,81808,92.6
239,Forrest,WA,96933,76591,5326,285,3158,5158,90518,93.38
119,Fowler,NSW,99122,78758,4194,433,2115,5856,91356,92.17
195,Franklin,TAS,73593,58889,3181,240,2110,5563,69983,95.09
102,Fraser,ACT,137987,116528,1584,337,5741,6204,130394,94.5
240,Fremantle,WA,100902,75688,5859,317,4375,6785,93024,92.19
212,Gellibrand,VIC,102190,73770,4240,579,4584,9417,92590,90.61
120,Gilmore,NSW,101469,83663,3053,202,3050,5687,95655,94.27
213,Gippsland,VIC,99573,83209,2344,330,3610,4551,94044,94.45
214,Goldstein,VIC,100583,73550,4484,277,5125,10276,93712,93.17
309,Gorton,VIC,102293,76082,4528,664,3457,9589,94320,92.21
121,Grayndler,NSW,104808,79902,5690,467,3599,6050,95708,91.32
122,Greenway,NSW,101829,82132,4098,394,2250,6816,95690,93.97
183,Grey,SA,100758,79795,3976,301,2544,7098,93714,93.01
163,Griffith,QLD,97413,71974,5688,354,3359,9357,90732,93.14
164,Groom,QLD,96926,75630,4156,253,1921,9699,91659,94.57
305,Hasluck,WA,98464,72854,7296,402,3474,6900,90926,92.34
165,Herbert,QLD,97076,77997,3036,320,2312,6967,90632,93.36
215,Higgins,VIC,98404,67980,5646,310,5450,11160,90546,92.01
185,Hindmarsh,SA,106792,81259,7360,470,2104,8177,99370,93.05
166,Hinkler,QLD,94495,77118,2796,178,2422,6813,89327,94.53
216,Holt,VIC,102585,75731,4682,445,3566,10788,95212,92.81
217,Hotham,VIC,97618,71645,5078,309,3399,9893,90324,92.53
124,Hughes,NSW,101488,81786,4531,259,3145,5925,95646,94.24
125,Hume,NSW,102291,83323,4060,194,3653,5906,97136,94.96
126,Hunter,NSW,97291,81813,3001,230,1852,5059,91955,94.52
218,Indi,VIC,98637,77825,2355,206,4348,9083,93817,95.11
219,Isaacs,VIC,97897,67838,5018,338,6322,11567,91083,93.04
220,Jagajaga,VIC,101205,77032,4018,271,3709,10124,95154,94.02
167,Kennedy,QLD,96393,74606,4188,446,2949,6740,88929,92.26
127,Kingsford Smith,NSW,102418,79649,3293,297,3404,7590,94233,92.01
186,Kingston,SA,98775,78961,5080,392,1942,6272,92647,93.8
221,Kooyong,VIC,97044,69848,4901,234,4535,11181,90699,93.46
223,La Trobe,VIC,98006,71675,5233,355,4221,11465,92949,94.84
222,Lalor,VIC,107392,83932,3754,439,3404,8482,100011,93.13
168,Leichhardt,QLD,99312,79050,2519,293,3205,5588,90655,91.28
169,Lilley,QLD,100171,76613,5159,216,2505,9922,94415,94.25
128,Lindsay,NSW,101229,83561,3533,406,2104,5891,95495,94.34
306,Lingiari,NT,65916,45039,1018,231,1861,1566,49715,75.42
302,Longman,QLD,94049,72672,3647,246,2774,8924,88263,93.85
130,Lyne,NSW,97138,80894,3276,179,3362,4343,92054,94.77
196,Lyons,TAS,73990,56971,4258,237,3278,5200,69944,94.53
131,Macarthur,NSW,97941,80591,3689,361,2361,5232,92234,94.17
132,Mackellar,NSW,102861,81689,4400,240,3119,6609,96057,93.39
133,Macquarie,NSW,100681,82552,3750,241,2329,6414,95286,94.64
187,Makin,SA,102817,81694,5769,527,2254,6381,96625,93.98
224,Mallee,VIC,97400,80486,2324,157,3108,6132,92207,94.67
170,Maranoa,QLD,99608,73827,4594,309,2398,12904,94032,94.4
225,Maribyrnong,VIC,104938,74617,5306,558,4448,11128,96057,91.54
188,Mayo,SA,100519,79343,4873,343,3168,7367,95094,94.6
226,McEwen,VIC,112012,81965,5708,464,5562,12472,106171,94.79
315,McMahon,NSW,99279,79555,4430,376,2780,5760,92901,93.58
227,McMillan,VIC,105739,83444,3812,303,4323,8188,100070,94.64
171,McPherson,QLD,94463,73924,2769,282,2883,7628,87486,92.61
228,Melbourne,VIC,99130,67515,6085,664,5248,10387,89899,90.69
230,Melbourne Ports,VIC,93616,60843,5936,506,3954,13057,84296,90.04
229,Menzies,VIC,98647,73985,4487,218,3439,10664,92793,94.07
134,Mitchell,NSW,97682,79267,3779,224,2759,6412,92441,94.63
172,Moncrieff,QLD,92674,68909,3448,341,3886,7795,84379,91.05
242,Moore,WA,97238,71998,6854,351,4794,5892,89889,92.44
173,Moreton,QLD,94271,68698,5490,304,3815,9054,87361,92.67
231,Murray,VIC,100185,82506,2882,273,3622,5441,94724,94.55
135,New England,NSW,102116,86675,2687,184,2576,5048,97170,95.16
136,Newcastle,NSW,97397,77218,4332,333,2285,6980,91148,93.58
137,North Sydney,NSW,101333,76217,4543,131,4687,7901,93479,92.25
243,O'Connor,WA,95069,72504,6154,267,3138,5653,87716,92.27
174,Oxley,QLD,86841,66892,4366,457,2425,7097,81237,93.55
138,Page,NSW,95724,79249,2113,179,2491,6126,90158,94.19
139,Parkes,NSW,101936,83011,3806,256,2971,6114,96158,94.33
140,Parramatta,NSW,98602,72660,4761,437,3719,8512,90089,91.37
249,Paterson,NSW,97107,79315,3702,241,2457,6148,91863,94.6
244,Pearce,WA,101317,74599,7988,510,3741,6881,93719,92.5
245,Perth,WA,95247,70088,6139,482,3981,6876,87566,91.94
175,Petrie,QLD,92973,70469,4178,199,3676,8581,87103,93.69
189,Port Adelaide,SA,105256,81397,6523,696,1848,6555,97019,92.17
176,Rankin,QLD,96516,71511,4402,347,4053,8729,89042,92.26
144,Reid,NSW,103761,79124,4377,328,3661,7337,94827,91.39
145,Richmond,NSW,97421,77799,2176,240,3559,5907,89681,92.06
250,Riverina,NSW,100115,84735,2380,204,2881,4365,94565,94.46
146,Robertson,NSW,100815,80579,4206,230,2595,7134,94744,93.98
177,Ryan,QLD,100652,75545,5803,212,4279,8897,94736,94.12
232,Scullin,VIC,103691,78976,5262,422,2944,9106,96710,93.27
148,Shortland,NSW,96947,77505,4101,257,2310,7369,91542,94.42
307,Solomon,NT,63163,49971,989,164,2844,2445,56413,89.31
246,Stirling,WA,96277,69102,6747,399,4747,7051,88046,91.45
190,Sturt,SA,101845,79188,6012,296,2031,7643,95170,93.45
247,Swan,WA,95234,67904,6339,529,5358,6556,86686,91.02
149,Sydney,NSW,106401,72302,6960,571,6059,8089,93981,88.33
248,Tangney,WA,94809,73038,5369,305,3668,6601,88981,93.85
150,Throsby,NSW,98401,81426,3290,237,1810,5804,92567,94.07
191,Wakefield,SA,103455,82025,5485,594,2161,6064,96329,93.11
233,Wannon,VIC,96084,78134,2844,186,3941,6762,91867,95.61
151,Warringah,NSW,102672,79031,4506,241,3554,7073,94405,91.95
251,Watson,NSW,101285,76788,4313,469,3621,6653,91844,90.68
152,Wentworth,NSW,109347,78175,4844,386,4836,9407,97648,89.3
153,Werriwa,NSW,96020,75431,4462,349,3266,5304,88812,92.49
178,Wide Bay,QLD,95172,74567,3869,231,3592,7399,89658,94.21
234,Wills,VIC,105547,75454,5487,427,5279,9325,95972,90.93
316,Wright,QLD,90371,64588,5727,255,4505,9941,85016,94.07
