State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
ACT,2,246742,82248,1,14, A,FILLINGER,Marcus,2835,2835,2835,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,15, A,MONTAGNE,Jessica,157,157,157,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,16, B,BAILEY,Steven,1342,1342,1342,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,17, B,ARNOLD,Joe,74,74,74,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,18, C,SHEIKH,Simon,46772,46772,46772,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,19, C,ESGUERRA,Indra,781,781,781,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,20, D,O'CONNOR,Mark,912,912,912,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,21, D,GRAHAM,Greg,19,19,19,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,22, E,BUCKNELL,Chris,4838,4838,4838,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,23, E,LEMMEY,Michael James,228,228,228,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,24, F,CUBITT,Paul,890,890,890,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,25, F,DOWSON,Stacey,24,24,24,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,26, G,AVERY,Deborah,8432,8432,8432,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,27, G,MILLER,Jamie,184,184,184,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,28, H,ROSS,Irwin,1337,1337,1337,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,29, H,HENRIQUEZ,Jose,44,44,44,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,30, I,NITSCHKE,Philip,3901,3901,3901,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,31, I,MACDOUGALL,Susan,62,62,62,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,32, J,SLATTERY,Wayne Kenneth,5144,5144,5144,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,33, J,TEERMAN,Paul Gerard,69,69,69,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
ACT,2,246742,82248,1,34, K,SESELJA,Zed,79969,79969,79969,1.000000000000000000000000000,,,0,"LUNDY ,K has 2057 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.024399501808908. 84305 papers are involved from count number(s) 1."
