State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
NT,2,103479,34494,1,13, A,TE WAKE,Douglas,7259,7259,7259,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,14, A,McCABE,John Brian Douglas,127,127,127,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,15, B,BELL,Gary,649,649,649,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,16, B,WATT,Kathryn,7,7,7,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,17, C,MILES,Jim,444,444,444,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,18, C,RUSSELL,Mark,11,11,11,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,19, D,KUNOTH-MONKS,Rosalie,1468,1468,1468,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,20, D,GADAMBUA,Jeannie,27,27,27,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,21, E,SCULLION,Nigel,42487,42487,42487,1.000000000000000000000000000,Elected,True,1,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,22, E,FAZLDEEN,Linda,294,294,294,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,23, F,PERIS,Nova,33214,33214,33214,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,24, F,FOLEY,Rowan,675,675,675,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,25, G,EDWARDS,Joanne Louise,2142,2142,2142,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,26, G,RANDALL,Tracey Lee,61,61,61,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,27, H,WORK,Vernon,301,301,301,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,28, H,STANKOVIC,Mile,6,6,6,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,29, I,GRAHAM,Matt,2802,2802,2802,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,30, I,RIGHTON,Christopher James,12,12,12,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
NT,2,103479,34494,1,31, J,PILE,Jan,935,935,935,1.000000000000000000000000000,,,0,"SCULLION ,N has 7993 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.188128133311365. 42487 papers are involved from count number(s) 1."
