State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
TAS,6,336953,48137,1,23, A,ARNOL,Cheryl,917,917,917,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,24, A,GARTH,Debra,34,34,34,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,25, B,MEAD,Clinton,7752,7752,7752,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,26, B,LLOYD,Katrina,55,55,55,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,27, C,BROWN,Carol,106226,106226,106226,1.000000000000000000000000000,Elected,True,2,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,28, C,BILYK,Catryna,819,819,819,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,29, C,THORP,Lin,2517,2517,2517,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,30, C,DOWLING,John,1055,1055,1055,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,31, D,LAMONT,Philip Murray,974,974,974,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,32, D,GATHERCOLE,Peter,22,22,22,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,33, E,COLBECK,Richard,123754,123754,123754,1.000000000000000000000000000,Elected,True,1,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,34, E,BUSHBY,David,1356,1356,1356,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,35, E,CHANDLER,Sally,637,637,637,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,36, E,COURTNEY,Sarah,653,653,653,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,37, F,LAMBIE,Jacqui,21794,21794,21794,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,38, F,DEAKIN,Kevin John,390,390,390,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,39, G,SWARTS,Kevin,1599,1599,1599,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,40, G,JONGELING,Ans,23,23,23,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,41, H,FERRI,Robyne,2566,2566,2566,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,42, H,McNAMARA,Glen Anthony,32,32,32,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,43, I,RANDLE,Thomas,1893,1893,1893,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
TAS,6,336953,48137,1,44, I,STOREY,Thomas,61,61,61,1.000000000000000000000000000,,,0,"COLBECK ,R has 75617 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.611026714288023. 123754 papers are involved from count number(s) 1."
