State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
WA,6,1310278,187183,1,28, A,KATZ-BARBER,Max,8684,8684,8684,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,29, A,DI RADO,Daniel,35,35,35,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,30, B,FRYAR,Jim,44825,44825,44825,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,31, B,HAMILTON,Neil,77,77,77,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,32, C,van BURGEL,Jamie,21310,21310,21310,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,33, C,MOSELEY,Justin,189,189,189,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,34, D,BALDERSTONE,Michael,13867,13867,13867,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,35, D,MOYLAN,Tayla,106,106,106,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,36, E,SYMONDS,Peter,1121,1121,1121,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
WA,6,1310278,187183,1,37, E,LOPEZ,Joe,22,22,22,1.000000000000000000000000000,,,0,"JOHNSTON ,D has 325063 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.634583774202238. 512246 papers are involved from count number(s) 1."
