2013 Federal Election Senate Votes By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:07 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,102976,76529,7334,1105,3575,8126,96669,93.88
197,Aston,VIC,94357,73717,3796,504,3519,8324,89860,95.23
198,Ballarat,VIC,103500,83285,3153,495,2801,8849,98583,95.25
103,Banks,NSW,101490,78094,4489,681,4248,7284,94796,93.4
180,Barker,SA,103347,84733,3930,445,2930,6237,98275,95.09
104,Barton,NSW,98663,76460,4257,777,4224,6008,91726,92.97
192,Bass,TAS,72226,58996,2046,375,2038,4895,68350,94.63
199,Batman,VIC,103239,73654,6290,706,5701,8855,95206,92.22
200,Bendigo,VIC,102928,81449,3189,570,3184,9951,98343,95.55
105,Bennelong,NSW,102508,79069,3686,567,4322,8589,96233,93.88
106,Berowra,NSW,97000,76921,4811,351,3072,7066,92221,95.07
304,Blair,QLD,88656,69189,4273,734,2157,8020,84373,95.17
107,Blaxland,NSW,100261,76899,4867,1097,3102,5986,91951,91.71
310,Bonner,QLD,95475,70663,5798,544,3081,10373,90459,94.75
182,Boothby,SA,104032,80329,6362,756,3043,8075,98565,94.74
155,Bowman,QLD,95879,76712,3222,330,2982,8052,91298,95.22
193,Braddon,TAS,71718,60325,1613,332,2079,4205,68554,95.59
108,Bradfield,NSW,100458,77947,4773,426,3852,7680,94678,94.25
235,Brand,WA,99867,77597,5168,717,3698,6218,93398,93.52
156,Brisbane,QLD,97446,69674,6880,724,4290,9553,91121,93.51
201,Bruce,VIC,94772,69470,4425,706,3498,10043,88142,93
109,Calare,NSW,102038,88527,2840,420,2471,3618,97876,95.92
203,Calwell,VIC,102682,75883,5332,1059,3194,8582,94050,91.59
101,Canberra,ACT,127359,108827,1610,509,5635,5372,121953,95.76
236,Canning,WA,101804,75273,7020,887,4160,6813,94153,92.48
157,Capricornia,QLD,94409,75518,3907,558,1892,8009,89884,95.21
204,Casey,VIC,97761,75245,4199,610,3312,9981,93347,95.48
110,Charlton,NSW,98551,80174,3976,675,2025,6810,93660,95.04
111,Chifley,NSW,102369,82819,4352,839,2048,5594,95652,93.44
205,Chisholm,VIC,96315,68087,5632,563,4178,12172,90632,94.1
112,Cook,NSW,104183,84591,3745,563,3589,6136,98624,94.66
207,Corangamite,VIC,101640,78142,4808,392,3770,10413,97525,95.95
