2014 WA Senate Election Senate Votes By Division [Event:17875 Phase:FinalResults Generated:2014-05-28T13:16:46 Cycle:b2873105-897b-4558-a9e2-d17a83d40911 Created:2014-05-28T11:03:19 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.9.16053]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
235,Brand,WA,102975,73528,5474,710,2556,7561,89829,87.23
236,Canning,WA,104824,73483,6965,938,2794,8495,92675,88.41
237,Cowan,WA,97407,69356,6880,598,4242,6658,87734,90.07
238,Curtin,WA,95545,66050,6436,631,4623,8014,85754,89.75
312,Durack,WA,92131,60915,5607,670,1973,5351,74516,80.88
239,Forrest,WA,99072,75623,5256,431,1865,6070,89245,90.08
240,Fremantle,WA,102861,72343,6895,455,3809,8069,91571,89.02
305,Hasluck,WA,100212,68398,8769,846,3094,8016,89123,88.93
242,Moore,WA,98860,69714,6904,605,4129,6461,87813,88.83
243,O'Connor,WA,95631,69109,6588,543,1769,6836,84845,88.72
244,Pearce,WA,104870,71960,8839,1012,3267,8162,93240,88.91
245,Perth,WA,96618,66805,7263,981,2881,7749,85679,88.68
246,Stirling,WA,97499,65070,7935,1004,4152,8483,86644,88.87
247,Swan,WA,96645,64126,7627,864,4335,7449,84401,87.33
248,Tangney,WA,95670,70363,6137,575,3037,7380,87492,91.45
