2016 Federal Election House of Representatives Party Representation [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:36 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,National,LastElection
Liberal,16,14,0,11,4,0,0,0,45,58
Liberal National Party,0,0,21,0,0,0,0,0,21,22
The Nationals,7,3,0,0,0,0,0,0,10,9
Country Liberals (NT),0,0,0,0,0,0,0,0,0,1
Australian Labor Party,24,18,8,5,6,4,2,2,69,55
The Greens,0,1,0,0,0,0,0,0,1,1
Palmer United Party,0,0,0,0,0,0,0,0,0,1
Katter's Australian Party,0,0,1,0,0,0,0,0,1,1
Family First,0,0,0,0,0,0,0,0,0,0
Christian Democratic Party,0,0,0,0,0,0,0,0,0,0
Australian Sex Party,0,0,0,0,0,0,0,0,0,0
Rise Up Australia Party,0,0,0,0,0,0,0,0,0,0
Australian Christians,0,0,0,0,0,0,0,0,0,0
DLP - Democratic Labour Party,0,0,0,0,0,0,0,0,0,0
One Nation,0,0,0,0,0,0,0,0,0,0
Bullet Train For Australia,0,0,0,0,0,0,0,0,0,0
Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
Australia First Party (NSW) Incorporated,0,0,0,0,0,0,0,0,0,0
Socialist Alliance,0,0,0,0,0,0,0,0,0,0
Liberal Democrats (LDP),0,0,0,0,0,0,0,0,0,0
Australian Country Party,0,0,0,0,0,0,0,0,0,0
Sustainable Australia,0,0,0,0,0,0,0,0,0,0
Animal Justice Party,0,0,0,0,0,0,0,0,0,0
Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
Science Party,0,0,0,0,0,0,0,0,0,0
Voluntary Euthanasia Party,0,0,0,0,0,0,0,0,0,0
Online Direct Democracy,0,0,0,0,0,0,0,0,0,0
Australian Antipaedophile Party,0,0,0,0,0,0,0,0,0,0
Australian Cyclists Party,0,0,0,0,0,0,0,0,0,0
Australian Defence Veterans Party,0,0,0,0,0,0,0,0,0,0
Australian Equality Party (Marriage),0,0,0,0,0,0,0,0,0,0
Australian Liberty Alliance,0,0,0,0,0,0,0,0,0,0
Australian Progressives,0,0,0,0,0,0,0,0,0,0
Australian Recreational Fishers,0,0,0,0,0,0,0,0,0,0
Consumer Rights & No-Tolls,0,0,0,0,0,0,0,0,0,0
CountryMinded,0,0,0,0,0,0,0,0,0,0
Derryn Hinch's Justice Party,0,0,0,0,0,0,0,0,0,0
Drug Law Reform,0,0,0,0,0,0,0,0,0,0
Glenn Lazarus Team,0,0,0,0,0,0,0,0,0,0
HEMP,0,0,0,0,0,0,0,0,0,0
Mature Australia Party,0,0,0,0,0,0,0,0,0,0
Nick Xenophon Team,0,0,0,0,1,0,0,0,1,0
Non Affiliated,0,0,0,0,0,0,0,0,0,0
Outdoor Recreation Party (Stop The Greens),0,0,0,0,0,0,0,0,0,0
Pirate Party,0,0,0,0,0,0,0,0,0,0
Renewable Energy Party,0,0,0,0,0,0,0,0,0,0
"Shooters, Fishers and Farmers",0,0,0,0,0,0,0,0,0,0
Smokers Rights Party,0,0,0,0,0,0,0,0,0,0
Socialist Equality Party,0,0,0,0,0,0,0,0,0,0
The Arts Party,0,0,0,0,0,0,0,0,0,0
Independent,0,1,0,0,0,1,0,0,2,2
