2016 Federal Election Senate First Preferences By Polling Place for Division 179 [Event:20499 Phase:FinalResults Generated:2017-05-16T15:44:55 Cycle:1c16bc24-2305-4e98-b136-89dead4ad909 Created:2016-09-05T17:43:14 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
SA,179,Adelaide,6648,Adelaide,A,29643,0,A Ticket Votes,Mature Australia,4
SA,179,Adelaide,6648,Adelaide,A,28433,1,"BOTHE, Darryl",Mature Australia,1
SA,179,Adelaide,6648,Adelaide,A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,179,Adelaide,6648,Adelaide,B,29655,0,B Ticket Votes,Australian Labor Party,200
SA,179,Adelaide,6648,Adelaide,B,29506,1,"WONG, Penny",Australian Labor Party,21
SA,179,Adelaide,6648,Adelaide,B,29508,2,"FARRELL, Don",Australian Labor Party,0
SA,179,Adelaide,6648,Adelaide,B,29510,3,"GALLACHER, Alex",Australian Labor Party,2
SA,179,Adelaide,6648,Adelaide,B,29511,4,"McEWEN, Anne",Australian Labor Party,0
SA,179,Adelaide,6648,Adelaide,B,29512,5,"ALLISON, Michael",Australian Labor Party,1
SA,179,Adelaide,6648,Adelaide,B,29515,6,"GALLACHER, Bronwyn",Australian Labor Party,0
SA,179,Adelaide,6648,Adelaide,C,29651,0,C Ticket Votes,The Arts Party,7
SA,179,Adelaide,6648,Adelaide,C,29535,1,"CRAWFORD, Terence Michael",The Arts Party,4
SA,179,Adelaide,6648,Adelaide,C,29536,2,"SANDERS, Charles Andrew Laurence",The Arts Party,1
SA,179,Adelaide,6648,Adelaide,D,29652,0,D Ticket Votes,The Greens,118
SA,179,Adelaide,6648,Adelaide,D,29494,1,"HANSON-YOUNG, Sarah",The Greens,23
SA,179,Adelaide,6648,Adelaide,D,29495,2,"SIMMS, Robert",The Greens,6
SA,179,Adelaide,6648,Adelaide,D,29496,3,"MOATE, Jody",The Greens,0
SA,179,Adelaide,6648,Adelaide,D,29497,4,"DE KOK, Harriet",The Greens,4
SA,179,Adelaide,6648,Adelaide,E,29660,0,E Ticket Votes,Australian Cyclists Party,6
