2016 Federal Election Senate Votes By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:29 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,109217,79166,7442,1237,3588,8485,99918,91.49
197,Aston,VIC,96043,72359,4105,815,3258,9526,90063,93.77
198,Ballarat,VIC,110755,87316,3679,927,3198,8420,103540,93.49
103,Banks,NSW,104891,81524,4475,1216,3497,7070,97782,93.22
180,Barker,SA,105600,85904,3312,614,2975,6646,99451,94.18
104,Barton,NSW,106511,80611,6189,1298,3319,5756,97173,91.23
192,Bass,TAS,73555,59924,1919,383,1829,5120,69175,94.05
199,Batman,VIC,108935,77368,6181,1009,5130,9350,99038,90.91
200,Bendigo,VIC,109604,85664,3599,655,4086,8811,102815,93.81
105,Bennelong,NSW,105962,79870,4635,962,4108,8623,98198,92.67
106,Berowra,NSW,105245,81822,4974,733,3307,8112,98948,94.02
304,Blair,QLD,98368,73261,4104,639,2605,10378,90987,92.5
107,Blaxland,NSW,103506,78102,5413,1539,2631,4844,92529,89.39
310,Bonner,QLD,100799,71458,5152,446,2358,13834,93248,92.51
182,Boothby,SA,107325,83274,6268,931,2361,7819,100653,93.78
155,Bowman,QLD,103446,81678,2896,300,2760,8656,96290,93.08
193,Braddon,TAS,72529,60535,1338,280,1871,4386,68410,94.32
108,Bradfield,NSW,105662,79331,4721,745,3669,9481,97947,92.7
235,Brand,WA,98025,69968,5050,953,3947,6518,86436,88.18
156,Brisbane,QLD,107003,74075,7469,747,4423,12019,98733,92.27
201,Bruce,VIC,96742,67455,4480,993,3905,11287,88120,91.09
317,Burt,WA,99474,72445,5609,1088,3287,7017,89446,89.92
109,Calare,NSW,112957,95588,3239,623,3247,3872,106569,94.34
203,Calwell,VIC,109405,77897,5850,1601,5329,6986,97663,89.27
101,Canberra,ACT,143231,119237,1369,734,6885,6439,134664,94.02
236,Canning,WA,98894,71146,6142,809,4005,7285,89387,90.39
157,Capricornia,QLD,98190,76264,3559,347,2145,9615,91930,93.62
204,Casey,VIC,102908,75968,4585,878,3666,11681,96778,94.04
111,Chifley,NSW,103864,81583,5241,1484,2439,4126,94873,91.34
205,Chisholm,VIC,97424,66453,5616,860,4223,13133,90285,92.67
112,Cook,NSW,104340,82521,4744,1002,2269,6782,97318,93.27
207,Corangamite,VIC,110277,82694,4703,954,4500,11835,104686,94.93
208,Corio,VIC,107808,83274,3767,776,2733,9266,99816,92.59
237,Cowan,WA,96213,69346,7151,923,4206,5977,87603,91.05
113,Cowper,NSW,118260,97404,3436,788,3204,5113,109945,92.97
