2019 Federal Election House of Representatives Votes By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,121606,85576,7443,769,5443,12068,111299,91.52
197,Aston,VIC,110342,87126,3821,180,3897,8895,103919,94.18
198,Ballarat,VIC,114954,90662,3302,238,3352,9818,107372,93.4
103,Banks,NSW,106253,83406,4067,272,4334,6766,98845,93.03
180,Barker,SA,118371,96532,3276,279,3158,8648,111893,94.53
104,Barton,NSW,108992,84447,5927,400,3837,4769,99380,91.18
192,Bass,TAS,76532,62768,1736,243,1461,5765,71973,94.04
318,Bean,ACT,104482,88632,1812,271,3279,3988,97982,93.78
200,Bendigo,VIC,112755,90552,2753,240,4181,8253,105979,93.99
105,Bennelong,NSW,108815,84873,3648,281,3787,8953,101542,93.32
106,Berowra,NSW,106331,83207,4737,193,4206,8027,100370,94.39
304,Blair,QLD,113520,85091,3875,422,4145,10157,103690,91.34
107,Blaxland,NSW,105383,79759,4615,462,3602,4771,93209,88.45
310,Bonner,QLD,104599,76324,4114,266,2556,13767,97027,92.76
182,Boothby,SA,123949,93782,5559,578,3055,13056,116030,93.61
155,Bowman,QLD,109425,85400,2592,209,3153,10450,101804,93.04
193,Braddon,TAS,79194,67588,1222,133,1626,4734,75303,95.09
108,Bradfield,NSW,107304,83556,4069,206,4101,8267,100199,93.38
235,Brand,WA,106998,77902,4298,397,4243,7929,94769,88.57
156,Brisbane,QLD,115557,78053,6397,466,6695,12977,104588,90.51
201,Bruce,VIC,109195,78246,4339,509,3924,11543,98561,90.26
317,Burt,WA,105236,75833,4875,637,4086,8651,94082,89.4
109,Calare,NSW,118099,101197,2731,215,2826,3570,110539,93.6
203,Calwell,VIC,107507,78678,3840,423,4304,9091,96336,89.61
101,Canberra,ACT,95348,76130,1540,312,5146,5179,88307,92.62
236,Canning,WA,107207,79245,5122,335,4577,7503,96782,90.28
157,Capricornia,QLD,102585,81173,2756,233,2551,8262,94975,92.58
204,Casey,VIC,113307,85454,4659,317,3714,12576,106720,94.19
111,Chifley,NSW,111980,86346,4902,469,4222,4795,100734,89.96
205,Chisholm,VIC,106323,76561,4885,228,4791,12918,99383,93.47
319,Clark,TAS,73846,58164,2546,281,2400,5759,69150,93.64
112,Cook,NSW,106957,85572,4463,356,3217,6556,100164,93.65
320,Cooper,VIC,110836,81777,5436,328,4592,10334,102467,92.45
207,Corangamite,VIC,111601,85321,5213,196,3631,11455,105816,94.82
208,Corio,VIC,110304,85545,3944,293,3225,9393,102400,92.83
237,Cowan,WA,98665,71472,5866,429,5075,6861,89703,90.92
113,Cowper,NSW,124340,103290,2744,262,3467,4663,114426,92.03
114,Cunningham,NSW,115231,94012,3824,242,3181,5498,106757,92.65
238,Curtin,WA,100422,73052,4709,543,4218,9467,91989,91.6
158,Dawson,QLD,105248,82704,3048,159,2918,6721,95550,90.79
