2019 Federal Election Senate First Preferences By Polling Place for Division 145 [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:57 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,145,Richmond,2044,Ballina,A,33821,0,A Ticket Votes,Rise Up Australia Party,14
NSW,145,Richmond,2044,Ballina,A,33408,1,"NICHOLS, Maree",Rise Up Australia Party,0
NSW,145,Richmond,2044,Ballina,A,33412,2,"SHIGROV, Vladimir",Rise Up Australia Party,0
NSW,145,Richmond,2044,Ballina,A,33418,3,"TOOP, Leo",Rise Up Australia Party,0
NSW,145,Richmond,2044,Ballina,B,33823,0,B Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,93
NSW,145,Richmond,2044,Ballina,B,33634,1,"KATELARIS, Andrew",Help End Marijuana Prohibition (HEMP) Party,11
NSW,145,Richmond,2044,Ballina,B,33636,2,"BALDERSTONE, Michael",Help End Marijuana Prohibition (HEMP) Party,1
NSW,145,Richmond,2044,Ballina,C,33809,0,C Ticket Votes,Health Australia Party,15
NSW,145,Richmond,2044,Ballina,C,32981,1,"KNIGHT, Molly",Health Australia Party,4
NSW,145,Richmond,2044,Ballina,C,32994,2,"FAIRBAIRN, Jason",Health Australia Party,0
NSW,145,Richmond,2044,Ballina,D,33813,0,D Ticket Votes,Liberal & Nationals,748
NSW,145,Richmond,2044,Ballina,D,33033,1,"HUGHES, Hollie",Liberal,11
NSW,145,Richmond,2044,Ballina,D,33051,2,"BRAGG, Andrew",Liberal,1
NSW,145,Richmond,2044,Ballina,D,33055,3,"DAVEY, Perin",The Nationals,1
NSW,145,Richmond,2044,Ballina,D,33058,4,"MOLAN, Jim",Liberal,36
NSW,145,Richmond,2044,Ballina,D,33071,5,"FARRAWAY, Sam",The Nationals,2
NSW,145,Richmond,2044,Ballina,D,33062,6,"FENELEY, Michael",Liberal,0
NSW,145,Richmond,2044,Ballina,E,33822,0,E Ticket Votes,Pirate Party,10
NSW,145,Richmond,2044,Ballina,E,33544,1,"AUGUST, John",Pirate Party,1
NSW,145,Richmond,2044,Ballina,E,33546,2,"JOYCE, Sara",Pirate Party,0
NSW,145,Richmond,2044,Ballina,F,33797,0,F Ticket Votes,Affordable Housing Party,12
NSW,145,Richmond,2044,Ballina,F,32180,1,"POTTS, Andrew",Affordable Housing Party,1
NSW,145,Richmond,2044,Ballina,F,32182,2,"ZIEBELL, Anthony John",Affordable Housing Party,0
NSW,145,Richmond,2044,Ballina,G,33800,0,G Ticket Votes,The Greens,381
NSW,145,Richmond,2044,Ballina,G,32442,1,"FARUQI, Mehreen",The Greens,23
NSW,145,Richmond,2044,Ballina,G,32448,2,"JACOBS, Rachael",The Greens,2
NSW,145,Richmond,2044,Ballina,G,32456,3,"STEER, Louise",The Greens,0
