2019 Federal Election Senate Votes By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:31 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,121606,85915,7913,1292,5480,12047,112647,92.63
197,Aston,VIC,110342,87069,4060,420,3918,8878,104345,94.57
198,Ballarat,VIC,114954,90468,3485,408,3380,9785,107526,93.54
103,Banks,NSW,106253,83611,4317,640,4360,6756,99684,93.82
180,Barker,SA,118371,96576,3524,632,3175,8640,112547,95.08
104,Barton,NSW,108992,84025,6219,691,3876,4762,99573,91.36
192,Bass,TAS,76532,62897,1795,391,1465,5740,72288,94.45
318,Bean,ACT,104482,89518,1874,483,3300,3970,99145,94.89
200,Bendigo,VIC,112755,90501,2891,404,4199,8195,106190,94.18
105,Bennelong,NSW,108815,84977,3852,458,3818,8906,102011,93.75
106,Berowra,NSW,106331,83315,4911,364,4223,8009,100822,94.82
304,Blair,QLD,113520,85082,4290,896,4163,10114,104545,92.09
107,Blaxland,NSW,105383,79320,4904,1043,3679,4776,93722,88.93
310,Bonner,QLD,104599,75925,4533,605,2584,13695,97342,93.06
182,Boothby,SA,123949,93847,5922,985,3073,13027,116854,94.28
155,Bowman,QLD,109425,85438,2860,500,3177,10369,102344,93.53
193,Braddon,TAS,79194,67712,1273,208,1628,4725,75546,95.39
108,Bradfield,NSW,107304,83475,4225,359,4144,8263,100466,93.63
235,Brand,WA,106998,77905,4678,849,4264,7896,95592,89.34
156,Brisbane,QLD,115557,81508,6981,1086,6756,12884,109215,94.51
201,Bruce,VIC,109195,79156,4659,928,3950,11518,100211,91.77
317,Burt,WA,105236,75771,5380,1152,4101,8628,95032,90.3
109,Calare,NSW,118099,101183,2866,421,2849,3571,110890,93.9
203,Calwell,VIC,107507,78308,4078,756,4329,9073,96544,89.8
101,Canberra,ACT,95348,76998,1596,543,5168,5160,89465,93.83
236,Canning,WA,107207,79241,5599,693,4592,7470,97595,91.03
157,Capricornia,QLD,102585,81236,2992,557,2568,8227,95580,93.17
204,Casey,VIC,113307,85364,4875,533,3731,12532,107035,94.46
111,Chifley,NSW,111980,86110,5197,958,4234,4799,101298,90.46
205,Chisholm,VIC,106323,76535,5155,466,4824,12884,99864,93.93
319,Clark,TAS,73846,58834,2618,447,2406,5750,70055,94.87
112,Cook,NSW,106957,85355,4631,597,3233,6539,100355,93.83
320,Cooper,VIC,110836,81801,5783,597,4622,10308,103111,93.03
207,Corangamite,VIC,111601,85202,5448,466,3655,11419,106190,95.15
208,Corio,VIC,110304,85617,4131,524,3241,9391,102904,93.29
237,Cowan,WA,98665,71838,6437,1035,5098,6810,91218,92.45
113,Cowper,NSW,124340,103309,2923,476,3477,4653,114838,92.36
114,Cunningham,NSW,115231,94106,3976,451,3190,5495,107218,93.05
238,Curtin,WA,100422,72940,5106,889,4243,9404,92582,92.19
158,Dawson,QLD,105248,82451,3318,459,2937,6691,95856,91.08
209,Deakin,VIC,107493,78400,5017,511,5433,12959,102320,95.19
252,Dickson,QLD,108211,81109,4354,621,2981,12717,101782,94.06
115,Dobell,NSW,117206,93975,4384,591,3069,6536,108555,92.62
210,Dunkley,VIC,110636,81393,4551,468,3950,12202,102564,92.7
312,Durack,WA,97104,66595,4408,789,4774,5888,82454,84.91
117,Eden-Monaro,NSW,114147,92241,2099,323,6238,5942,106843,93.6
159,Fadden,QLD,114061,82584,4565,1028,4195,10485,102857,90.18
160,Fairfax,QLD,114123,87517,3803,628,4072,7892,103912,91.05
118,Farrer,NSW,115525,94362,1451,255,5084,6072,107224,92.81
102,Fenner,ACT,96017,77524,2132,666,3214,4505,88041,91.69
161,Fisher,QLD,113134,86348,3791,433,5092,10036,105700,93.43
211,Flinders,VIC,110703,85442,3409,331,4160,10060,103402,93.4
311,Flynn,QLD,103061,77303,3820,502,3683,10205,95513,92.68
162,Forde,QLD,107261,75165,4734,1058,3889,12337,97183,90.6
239,Forrest,WA,105452,81518,4536,596,3535,6360,96545,91.55
119,Fowler,NSW,106941,83803,4687,1150,3387,4670,97697,91.36
195,Franklin,TAS,76619,61552,2771,450,2072,5333,72178,94.2
321,Fraser,VIC,109408,82820,3831,1018,4445,7333,99447,90.9
240,Fremantle,WA,105465,77732,5272,747,4669,8761,97181,92.15
212,Gellibrand,VIC,111194,83633,4743,733,4926,8332,102367,92.06
120,Gilmore,NSW,122364,99953,3018,415,4448,6197,114031,93.19
213,Gippsland,VIC,110538,91848,2118,355,3756,4312,102389,92.63
214,Goldstein,VIC,108514,81149,4956,416,3569,11984,102074,94.07
309,Gorton,VIC,110416,76733,4389,1101,10804,8625,101652,92.06
121,Grayndler,NSW,109567,84930,6111,738,4143,5346,101268,92.43
122,Greenway,NSW,110299,88807,4945,908,3429,5672,103761,94.07
183,Grey,SA,119949,93479,4227,681,3401,9986,111774,93.18
163,Griffith,QLD,111937,79990,5922,866,4964,10641,102383,91.46
164,Groom,QLD,105978,80141,2875,544,2501,13051,99112,93.52
305,Hasluck,WA,98624,70470,6331,926,4327,8190,90244,91.5
165,Herbert,QLD,108453,84379,2482,695,3225,7853,98634,90.95
215,Higgins,VIC,111013,79613,6285,672,4956,11745,103271,93.03
185,Hindmarsh,SA,122645,93755,5352,984,2883,11665,114639,93.47
166,Hinkler,QLD,107742,86861,2172,336,3236,7542,100147,92.95
216,Holt,VIC,106812,76572,4775,922,4967,12371,99607,93.25
217,Hotham,VIC,107833,77231,5362,581,5902,10901,99977,92.71
124,Hughes,NSW,106204,87186,4580,461,3189,5725,101141,95.23
125,Hume,NSW,116405,92351,5689,557,4473,6030,109100,93.72
126,Hunter,NSW,121436,96893,4775,585,4919,4485,111657,91.95
218,Indi,VIC,112775,90117,2309,286,5354,7709,105775,93.79
219,Isaacs,VIC,108297,81322,5004,642,4978,9214,101160,93.41
220,Jagajaga,VIC,107553,84298,4582,448,4201,8206,101735,94.59
167,Kennedy,QLD,107679,82229,3436,874,3242,6274,96055,89.2
127,Kingsford Smith,NSW,111098,86969,4315,481,3454,5422,100641,90.59
186,Kingston,SA,118735,91764,5263,750,2875,10482,111134,93.6
221,Kooyong,VIC,108413,78902,5184,480,5129,12842,102537,94.58
223,La Trobe,VIC,110721,80705,4508,639,4541,13143,103536,93.51
222,Lalor,VIC,106783,80912,3280,810,4792,8744,98538,92.28
168,Leichhardt,QLD,109458,83765,2121,629,4016,6502,97033,88.65
169,Lilley,QLD,108608,81139,5088,718,3185,10209,100339,92.39
128,Lindsay,NSW,118734,95363,4334,814,3241,6488,110240,92.85
306,Lingiari,NT,70023,46130,1055,407,2159,1477,51228,73.16
302,Longman,QLD,114718,88969,3201,552,3943,9664,106329,92.69
130,Lyne,NSW,118726,98156,4092,472,3834,5047,111601,94
196,Lyons,TAS,79625,62370,4124,626,1594,6491,75205,94.45
131,Macarthur,NSW,119094,96970,5661,997,2945,4569,111142,93.32
132,Mackellar,NSW,110817,88037,4485,431,3337,6636,102926,92.88
322,Macnamara,VIC,113802,71862,7128,648,7148,15190,101976,89.61
133,Macquarie,NSW,107962,88772,4034,382,2702,5687,101577,94.09
187,Makin,SA,119982,93124,6431,1159,2482,9463,112659,93.9
224,Mallee,VIC,113767,90856,2783,326,4759,7206,105930,93.11
170,Maranoa,QLD,105051,74110,3614,522,3936,15022,97204,92.53
225,Maribyrnong,VIC,112866,81210,5468,740,5453,12073,104944,92.98
188,Mayo,SA,122377,97663,4516,675,4003,9965,116822,95.46
226,McEwen,VIC,108041,80505,5142,492,5448,10694,102281,94.67
315,McMahon,NSW,106754,82132,5710,1070,3986,5142,98040,91.84
171,McPherson,QLD,109261,81333,2952,675,4708,9499,99167,90.76
228,Melbourne,VIC,107572,71330,7358,761,8433,9117,96999,90.17
229,Menzies,VIC,107801,80211,5254,372,4931,11087,101855,94.48
134,Mitchell,NSW,110345,86443,5004,586,4201,8287,104521,94.72
323,Monash,VIC,112483,89883,3591,471,4394,7441,105780,94.04
172,Moncrieff,QLD,111386,81913,4196,886,4832,7955,99782,89.58
242,Moore,WA,101523,76967,5286,739,5281,5933,94206,92.79
173,Moreton,QLD,102769,72250,4837,979,4679,11646,94391,91.85
135,New England,NSW,111893,94899,2848,344,3182,4633,105906,94.65
136,Newcastle,NSW,117650,94522,4464,570,3468,6430,109454,93.03
324,Nicholls,VIC,111134,91149,2720,315,3855,5196,103235,92.89
137,North Sydney,NSW,109218,82131,4796,510,5087,8783,101307,92.76
243,O'Connor,WA,101983,77197,4725,742,3579,6332,92575,90.77
174,Oxley,QLD,104214,77832,4344,1028,3112,9678,95994,92.11
138,Page,NSW,122709,102089,2777,465,3744,4886,113961,92.87
139,Parkes,NSW,109513,87790,3279,410,3819,4974,100272,91.56
140,Parramatta,NSW,103122,74354,5780,783,6104,6510,93531,90.7
249,Paterson,NSW,122820,101699,3948,593,3833,4849,114922,93.57
244,Pearce,WA,119583,83340,7469,1239,6581,9795,108424,90.67
245,Perth,WA,101535,73149,5850,1134,4943,8024,93100,91.69
175,Petrie,QLD,115449,85322,4271,634,4218,11549,105994,91.81
176,Rankin,QLD,103551,75375,4406,926,2710,9489,92906,89.72
144,Reid,NSW,108876,82060,4844,694,5596,7392,100586,92.39
145,Richmond,NSW,119332,96741,1937,302,5277,4280,108537,90.95
250,Riverina,NSW,113960,95828,2868,300,3562,4158,106716,93.64
