2022 Federal Election House of Representatives Party Representation [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:58 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,National,LastElection
Liberal,9,8,0,5,3,2,0,0,27,44
Liberal National Party of Queensland,0,0,21,0,0,0,0,0,21,23
The Nationals,7,3,0,0,0,0,0,0,10,10
Country Liberal Party (NT),0,0,0,0,0,0,0,0,0,0
Australian Labor Party,26,24,5,9,6,2,3,2,77,68
Centre Alliance,0,0,0,0,1,0,0,0,1,1
Katter's Australian Party (KAP),0,0,1,0,0,0,0,0,1,1
The Greens,0,1,3,0,0,0,0,0,4,1
United Australia Party,0,0,0,0,0,0,0,0,0,0
Independent,5,3,0,1,0,1,0,0,10,3
Pauline Hanson's One Nation,0,0,0,0,0,0,0,0,0,0
Liberal Democratic Party,0,0,0,0,0,0,0,0,0,0
Australian Federation Party,0,0,0,0,0,0,0,0,0,0
Animal Justice Party,0,0,0,0,0,0,0,0,0,0
Informed Medical Options Party,0,0,0,0,0,0,0,0,0,0
The Great Australian Party,0,0,0,0,0,0,0,0,0,0
WESTERN AUSTRALIA PARTY,0,0,0,0,0,0,0,0,0,0
Victorian Socialists,0,0,0,0,0,0,0,0,0,0
Australian Christians,0,0,0,0,0,0,0,0,0,0
"FUSION: Science, Pirate, Secular, Climate Emergency",0,0,0,0,0,0,0,0,0,0
Australian Citizens Party,0,0,0,0,0,0,0,0,0,0
TNL,0,0,0,0,0,0,0,0,0,0
Derryn Hinch's Justice Party,0,0,0,0,0,0,0,0,0,0
Socialist Alliance,0,0,0,0,0,0,0,0,0,0
Australian Values Party,0,0,0,0,0,0,0,0,0,0
Jacqui Lambie Network,0,0,0,0,0,0,0,0,0,0
"Shooters, Fishers and Farmers Party",0,0,0,0,0,0,0,0,0,0
Indigenous - Aboriginal Party of Australia,0,0,0,0,0,0,0,0,0,0
Sustainable Australia Party - Stop Overdevelopment / Corruption,0,0,0,0,0,0,0,0,0,0
Australian Progressives,0,0,0,0,0,0,0,0,0,0
Drew Pavlou Democratic Alliance,0,0,0,0,0,0,0,0,0,0
The Local Party of Australia,0,0,0,0,0,0,0,0,0,0
Australian Democrats,0,0,0,0,0,0,0,0,0,0
Legalise Cannabis Australia,0,0,0,0,0,0,0,0,0,0
Reason Australia,0,0,0,0,0,0,0,0,0,0
Non Affiliated,0,0,0,0,0,0,0,0,0,0
Too close to attribute,0,0,0,0,0,0,0,0,0,-
