2022 Federal Election Senate Candidates [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
TAS,LP,Liberal,37132,ABETZ,Eric,N,Y
SA,HMP,Legalise Cannabis Australia,36475,ADAMS,Angela,N,N
TAS,UAPP,United Australia Party,36282,ADAMS,Diana,N,N
QLD,UAPP,United Australia Party,36124,ADIDI,Desmond,N,N
QLD,GRN,Queensland Greens,36786,ALLMAN-PAYNE,Penny,Y,N
SA,,,37771,AMADIO,Pat,N,N
NSW,FIN,Federal ICAC Now,37489,ANDERSON,Gabrielle,N,N
QLD,ALP,Australian Labor Party,37013,ANDREW,Edwina,N,N
ACT,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37241,ANGEL,Joy,N,N
NT,GRN,The Greens,36509,ANLEZARK,Jane,N,N
SA,UAPP,United Australia Party,36461,ARBON,Michael,N,N
QLD,AUD,Australian Democrats,37704,ARBUCKLE,Luke,N,N
NT,GAP,The Great Australian Party,37390,ARRIGO,Steve,N,N
NSW,GRN,The Greens,36639,ARYA,Hawa,N,N
TAS,LP,Liberal,37131,ASKEW,Wendy,Y,Y
VIC,AUVA,Australian Values Party,36616,ASSER,Samantha,N,N
VIC,IND,Independent,37453,ATKINSON,Bernardine,N,N
VIC,GVIC,The Greens,36568,AUSTIN,Sissy,N,N
WA,,,37651,AYRE,Tricia,N,N
VIC,UAPP,United Australia Party,36105,BABET,Ralph,Y,N
TAS,GRN,The Greens,37431,BADGER,Tabatha,N,N
NSW,HMP,Legalise Cannabis Australia,36750,BALDERSTONE,Michael,N,N
WA,CYA,Australian Federation Party,37087,BARRETT,Leanne,N,N
VIC,CEC,Citizens Party,35962,BARWICK,Robbie,N,N
NSW,AUD,Australian Democrats,37392,BATY,Steven James,N,N
NT,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,37661,BELCHER,Richard,N,N
VIC,,,37591,BENEDYKA,Susan,N,N
QLD,CYA,Australian Federation Party,37436,BENNETT,Jackie,N,N
SA,GAP,The Great Australian Party,37090,BENNETT,Trevor,N,N
NSW,SUN,Seniors United Party of Australia,36473,BENNIE,Ray,N,N
SA,LP,Liberal,37004,BIRMINGHAM,Simon,Y,Y
SA,NP,National Party,37755,BLANDFORD,Lisa,N,N
TAS,GRN,The Greens,37427,BLEYER,Vanessa,N,N
NSW,,,37143,BODDY,Max,N,N
VIC,IND,Independent,37776,BOND,James,N,N
VIC,ASP,"Shooters, Fishers and Farmers Party",36095,BOURMAN,Nicole,N,N
QLD,HMP,Legalise Cannabis Australia,37686,BRADLEY,Bernard Anthony,N,N
WA,CEC,Citizens Party,37533,BRAILEY,Denise,N,N
QLD,TNL,TNL,36269,BRENNAN,Bess,N,N
QLD,UAPP,United Australia Party,36119,BREWSTER,Martin,N,N
VIC,ALP,Australian Labor Party,36812,BRIDGER-DARLING,Megan,N,N
NSW,AJP,Animal Justice Party,36425,BROLLO,Darren,N,N
NSW,IAP,Indigenous - Aboriginal Party of Australia,36766,BROOKE,Lawrence John,N,N
TAS,CYA,Australian Federation Party,37791,BROOMHALL,Ray,N,N
NSW,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",36467,BRYCE,Ian R,N,N
WA,IND,Independent,37786,BUCKLE,Ashley,N,N
SA,NP,National Party,37759,BUIJS,Damien,N,N
WA,SUN,Seniors United Party of Australia,37756,BURDETT,Bob,N,N
VIC,LP,Liberal,36632,BURGESS,David,N,N
NSW,IMO,Informed Medical Options Party,36410,BURNUM BURNUM,Marelle,N,N
VIC,AUVA,Australian Values Party,36613,BURSON,Chris,N,N
