2022 Federal Election Senate Votes By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,129960,87721,6700,1153,3095,19279,117948,90.76
197,Aston,VIC,109705,78072,3226,581,3379,16908,102166,93.13
198,Ballarat,VIC,110570,80935,2610,585,3607,14144,101881,92.14
103,Banks,NSW,107700,81073,3035,740,3040,11546,99434,92.32
180,Barker,SA,123326,94693,2884,552,2656,13506,114291,92.67
104,Barton,NSW,110371,82147,4588,1042,2873,9347,99997,90.6
192,Bass,TAS,79322,58374,1477,400,1502,11346,73099,92.15
318,Bean,ACT,109432,87607,1779,582,2669,8761,101398,92.66
200,Bendigo,VIC,112354,85015,2158,474,3305,13062,104014,92.58
105,Bennelong,NSW,114942,84619,2910,708,2690,16150,107077,93.16
106,Berowra,NSW,106174,79705,3086,472,2588,13353,99204,93.44
304,Blair,QLD,126366,81891,3869,1005,4338,20025,111128,87.94
107,Blaxland,NSW,107252,75621,3710,1132,2454,9936,92853,86.57
310,Bonner,QLD,109132,71418,3738,676,2372,21295,99499,91.17
182,Boothby,SA,128592,90107,4898,749,3269,20595,119618,93.02
155,Bowman,QLD,115715,80792,2446,431,3056,18497,105222,90.93
193,Braddon,TAS,82424,65631,1077,279,1564,8103,76654,93
108,Bradfield,NSW,108540,79565,2743,379,2280,15045,100012,92.14
235,Brand,WA,118102,79112,4155,783,3975,14965,102990,87.2
156,Brisbane,QLD,125208,75227,6220,972,7389,22767,112575,89.91
201,Bruce,VIC,112756,72955,4544,377,4172,17867,99915,88.61
317,Burt,WA,112918,73996,5073,599,3753,14447,97868,86.67
109,Calare,NSW,121414,99367,2356,508,2991,6964,112186,92.4
203,Calwell,VIC,106706,70389,3797,1014,2985,13702,91887,86.11
101,Canberra,ACT,102078,79131,1786,612,3920,10198,95647,93.7
236,Canning,WA,115165,78064,4656,697,4168,14181,101766,88.37
157,Capricornia,QLD,108569,76457,2985,583,2907,13821,96753,89.12
204,Casey,VIC,114277,81477,3666,676,3394,17806,107019,93.65
111,Chifley,NSW,121280,85009,3463,1297,4146,10262,104177,85.9
205,Chisholm,VIC,109851,73225,3526,660,3457,21367,102235,93.07
319,Clark,TAS,74697,52948,2668,456,2777,10242,69091,92.5
112,Cook,NSW,110221,86194,3171,800,2531,10484,103180,93.61
320,Cooper,VIC,108610,75040,4570,759,3674,14784,98827,90.99
328,Corangamite,VIC,112645,77478,3942,425,4328,19604,105777,93.9
208,Corio,VIC,112517,78372,3568,681,3384,16606,102611,91.2
237,Cowan,WA,122611,78537,6046,1305,5139,17185,108212,88.26
113,Cowper,NSW,129688,101923,2416,477,4168,9056,118040,91.02
114,Cunningham,NSW,117169,92943,2816,571,2956,9073,108359,92.48
238,Curtin,WA,119268,80492,4741,762,4220,18949,109164,91.53
158,Dawson,QLD,110384,78969,3021,584,3467,10719,96760,87.66
209,Deakin,VIC,112455,77369,3850,589,3865,19767,105440,93.76
252,Dickson,QLD,112786,73960,3800,607,3087,22040,103494,91.76
115,Dobell,NSW,118400,88765,3346,1103,2668,11635,107517,90.81
210,Dunkley,VIC,111567,75009,3623,746,3602,18414,101394,90.88
312,Durack,WA,118406,74036,4115,1257,5743,11587,96738,81.7
117,Eden-Monaro,NSW,116338,90135,1422,371,3785,13097,108810,93.53
159,Fadden,QLD,127728,84058,4098,1231,3640,19154,112181,87.83
160,Fairfax,QLD,123296,86212,3359,638,4173,16570,110952,89.99
118,Farrer,NSW,119235,91465,1041,333,5459,10813,109111,91.51
102,Fenner,ACT,102515,80199,1685,602,2434,8343,93263,90.97
161,Fisher,QLD,125775,86833,3609,736,3914,17828,112920,89.78
211,Flinders,VIC,114414,78888,3124,522,4517,18135,105186,91.93
311,Flynn,QLD,108988,73795,3255,702,4019,15270,97041,89.04
162,Forde,QLD,119085,72288,4552,1138,3666,20776,102420,86.01
239,Forrest,WA,113008,79933,3959,454,3339,13138,100823,89.22
119,Fowler,NSW,108429,80495,3466,984,2539,9105,96589,89.08
195,Franklin,TAS,80243,58717,2452,505,2365,11240,75279,93.81
321,Fraser,VIC,110961,72956,4428,1106,3641,15447,97578,87.94
240,Fremantle,WA,116783,80371,5280,749,3635,15278,105313,90.18
212,Gellibrand,VIC,108096,74718,3482,924,3812,14721,97657,90.34
120,Gilmore,NSW,127603,96764,2307,461,4499,13372,117403,92.01
213,Gippsland,VIC,114405,89908,1970,413,3990,8371,104652,91.48
214,Goldstein,VIC,109633,77364,3577,705,3288,17610,102544,93.53
309,Gorton,VIC,110860,72945,3515,1180,5513,16481,99634,89.87
121,Grayndler,NSW,109926,84616,3578,712,3065,11430,103401,94.06
122,Greenway,NSW,119876,98696,3658,879,2275,13002,118510,98.86
183,Grey,SA,123620,89542,2883,568,3439,14831,111263,90
163,Griffith,QLD,121278,78810,5250,778,4716,20014,109568,90.34
164,Groom,QLD,110878,75412,2251,433,2205,20869,101170,91.24
305,Hasluck,WA,117530,78050,5310,970,4888,16206,105424,89.7
326,Hawke,VIC,106479,75337,3232,412,3276,13579,95836,90
165,Herbert,QLD,114164,79962,2424,682,3134,13650,99852,87.46
215,Higgins,VIC,107736,71392,4475,679,4321,18483,99350,92.22
185,Hindmarsh,SA,128627,90055,4338,872,2997,19439,117701,91.51
166,Hinkler,QLD,117153,83597,2075,418,3381,15345,104816,89.47
216,Holt,VIC,107397,73456,4434,1331,3839,13335,96395,89.76
217,Hotham,VIC,115974,77625,4516,1067,3497,18322,105027,90.56
124,Hughes,NSW,107279,84895,2980,547,2916,10554,101892,94.98
125,Hume,NSW,121712,94277,3792,873,3342,11174,113458,93.22
126,Hunter,NSW,128370,99755,3435,762,3041,10481,117474,91.51
218,Indi,VIC,117447,86461,2083,437,4898,14074,107953,91.92
219,Isaacs,VIC,110673,76583,4057,739,2898,17835,102112,92.26
220,Jagajaga,VIC,113162,80745,3913,627,4557,15559,105401,93.14
167,Kennedy,QLD,114399,80024,3127,796,3559,8977,96483,84.34
127,Kingsford Smith,NSW,115299,86041,2882,827,3455,11924,105129,91.18
186,Kingston,SA,124441,86881,4089,590,3118,19305,113983,91.6
221,Kooyong,VIC,112972,77350,3802,601,4736,19628,106117,93.93
223,La Trobe,VIC,105791,71514,4613,324,3545,16948,96944,91.64
222,Lalor,VIC,106949,73094,2911,1042,4260,13782,95089,88.91
168,Leichhardt,QLD,117214,81091,2273,723,3978,11437,99502,84.89
169,Lilley,QLD,112302,73949,4387,757,3358,20053,102504,91.28
128,Lindsay,NSW,124660,95994,2890,940,2519,11440,113783,91.27
306,Lingiari,NT,74008,44056,938,353,2150,2216,49713,67.17
302,Longman,QLD,129001,85009,3187,597,4438,21163,114394,88.68
130,Lyne,NSW,124499,98955,3109,467,3450,9466,115447,92.73
196,Lyons,TAS,85166,61005,3695,620,1566,11964,78850,92.58
131,Macarthur,NSW,133408,101707,4179,1139,4179,11033,122237,91.63
132,Mackellar,NSW,111170,83782,3030,486,3388,12426,103112,92.75
322,Macnamara,VIC,110603,65371,5231,775,5216,19872,96465,87.22
133,Macquarie,NSW,108054,84413,2796,554,2514,11013,101290,93.74
187,Makin,SA,123112,86581,5067,893,2743,17616,112900,91.71
224,Mallee,VIC,120129,90808,2053,517,3935,11346,108659,90.45
170,Maranoa,QLD,109005,70306,2843,582,3144,20055,96930,88.92
225,Maribyrnong,VIC,108937,72264,3644,865,5276,17793,99842,91.65
188,Mayo,SA,130646,97762,4072,627,4624,15806,122891,94.06
226,McEwen,VIC,108036,65349,5253,956,4300,17464,93322,86.38
315,McMahon,NSW,107217,75947,4247,1119,2498,10800,94611,88.24
171,McPherson,QLD,117232,77595,3246,737,5754,16082,103414,88.21
228,Melbourne,VIC,114388,69319,6969,854,7902,15675,100719,88.05
229,Menzies,VIC,112743,77269,3816,542,3434,19714,104775,92.93
134,Mitchell,NSW,121363,86696,4040,697,3795,15274,110502,91.05
323,Monash,VIC,111082,79918,2967,583,4389,14004,101861,91.7
172,Moncrieff,QLD,122546,78809,3954,1029,3844,17406,105042,85.72
242,Moore,WA,119305,82698,4973,754,4734,16785,109944,92.15
173,Moreton,QLD,107115,64664,4058,966,4729,21697,96114,89.73
135,New England,NSW,113303,90794,2145,535,2870,7809,104153,91.92
136,Newcastle,NSW,122452,92423,3273,682,3709,12263,112350,91.75
324,Nicholls,VIC,114386,87027,2317,544,3966,9923,103777,90.73
137,North Sydney,NSW,111694,80241,3048,694,3121,16246,103350,92.53
243,O'Connor,WA,117798,80877,4273,894,3880,13628,103552,87.91
174,Oxley,QLD,112658,73332,3801,965,3139,18664,99901,88.68
138,Page,NSW,122892,97210,2419,828,3325,9406,113188,92.1
139,Parkes,NSW,109000,82946,2362,550,3551,7681,97090,89.07
140,Parramatta,NSW,105465,72025,4406,1239,2670,13869,94209,89.33
249,Paterson,NSW,132040,102287,2984,671,2848,12283,121073,91.69
244,Pearce,WA,115212,74906,4977,832,3963,17325,102003,88.54
245,Perth,WA,122580,77323,6664,1118,8178,16571,109854,89.62
175,Petrie,QLD,124827,79649,3969,675,5630,21255,111178,89.07
176,Rankin,QLD,108054,67078,3356,993,2391,18768,92586,85.68
